email,domain,business_name,peptides,city,state,phone,website,source
info@balancedaestheticsmedspa.com,balancedaestheticsmedspa.com,Balanced Aesthetics + Wellness,"semaglutide, tirzepatide and NAD+",Atlanta,GA,(470) 226-2390,https://balancedaestheticsmedspa.com/,seed_2026-09-12
info@reviveokc.com,reviveokc.com,Revive Clinic,GLP-1s,Oklahoma City,OK,(405) 237-3799; (405) 703-8882,https://reviveokc.com/,seed_2026-09-12
info@npocwellness.com,npocwellness.com,npocwellness.com,NAD+ and GLP-1s,Baltimore,MD,(240) 673-2830; (410) 246-4768; (855) 651-0586,https://npocwellness.com/,seed_2026-09-12
info@oakhousemedspa.com,oakhousemedspa.com,oakhousemedspa.com,GLP-1s,New Orleans,LA,(504) 222-2995; (504) 399-4038,https://oakhousemedspa.com/,seed_2026-09-12
guestservices@simplyskinmedspa.com,simplyskinmedspa.com,SimplySkin,"semaglutide, tirzepatide and NAD+",Indianapolis,IN,(317) 576-1114; (317) 602-6332; (317) 676-6179,https://simplyskinmedspa.com/,seed_2026-09-12
frontdesk@ahvhealth.com,ahvhealth.com,Advanced Health and Vitality Center,NAD+,,,,https://ahvhealth.com/,seed_2026-09-12
info@ibeautymedical.com,ibeautymedical.com,iBeauty Med Spa,peptide therapy,Detroit,MI,(248) 719-7271; (419) 370-0470; (419) 720-6839,https://ibeautymedical.com/,seed_2026-09-12
info@novawellnessnj.com,novawellnessnj.com,Nova Wellness NJ,NAD+,Newark,NJ,(973) 441-1324; (973) 909-7400,https://novawellnessnj.com/,seed_2026-09-12
support@mettawellnessnw.com,mettawellnessnw.com,Metta Wellness NW,NAD+,Portland,OR,(509) 255-3527; (509) 639-3394; (509) 639-3398,https://mettawellnessnw.com/,seed_2026-09-12
team@latofonts.com,latofonts.com,Vadara,sermorelin and NAD+,,,,https://latofonts.com/,seed_2026-09-12
info@serenityawmedspa.com,serenityawmedspa.com,Serenity Aesthetics and Wellness,NAD+,Philadelphia,PA,(215) 278-6638,https://serenityawmedspa.com/,seed_2026-09-12
info@modernslc.com,modernslc.com,modernslc.com,NAD+ and GLP-1s,Salt Lake City,UT,(801) 405-9634; (801) 516-8884,https://modernslc.com/,seed_2026-09-12
info@shahmedspa.com,shahmedspa.com,shahmedspa.com,peptide therapy,Boston,MA,(617) 380-3770,https://shahmedspa.com/,seed_2026-09-12
ocrmail@hhs.gov,hhs.gov,Ohio Men's Health,"semaglutide, sermorelin and GLP-1s",,,,https://hhs.gov/,seed_2026-09-12
evexia@evexiamedspa.com,evexiamedspa.com,Evexia Medspa,peptide therapy,Washington,DC,(571) 556-4841,https://evexiamedspa.com/,seed_2026-09-12
hello@purehydrationspa.com,purehydrationspa.com,purehydrationspa.com,"BPC-157, TB-500 and sermorelin",Jacksonville,FL,(904) 337-0746; (904) 372-4401,https://purehydrationspa.com/,seed_2026-09-12
drshadi@drshadimedspa.com,drshadimedspa.com,Dr. Shadi Concierge MedSpa,"semaglutide, tirzepatide and retatrutide",Newport Beach,CA,(714) 600-2262,https://drshadimedspa.com/,seed_2026-09-12
info@kumimedspa.com,kumimedspa.com,Kumi Med Spa,"retatrutide, BPC-157 and TB-500",Houston,TX,(281) 206-7570; (346) 577-3008; (832) 225-6516,https://kumimedspa.com/,seed_2026-09-12
marta@elevatemedgroup.com,elevatemedgroup.com,Elevate Medical Group,"semaglutide, tirzepatide and retatrutide",Henderson,NV,(702) 800-5695,https://elevatemedgroup.com/,seed_2026-09-12
info@weisswellnessnyc.com,weisswellnessnyc.com,Weiss Wellness + Beauty,"semaglutide, tirzepatide and BPC-157",New York,NY,(212) 752-6774,https://weisswellnessnyc.com/,seed_2026-09-12
info@kcmedicalwc.com,kcmedicalwc.com,KC Wellness Center,"semaglutide, tirzepatide and retatrutide",Kansas City,MO,(816) 214-5276,https://kcmedicalwc.com/,seed_2026-09-12
functionalmed@thehealingcollective.us,thehealingcollective.us,thehealingcollective.us,"semaglutide, tirzepatide and BPC-157",Boulder,CO,(720) 572-5236,https://thehealingcollective.us/,seed_2026-09-12
info@carolinahealthspan.com,carolinahealthspan.com,Carolina HealthSpan Institute,"semaglutide, tirzepatide and GLP-1s",Charlotte,NC,(704) 333-4817,https://carolinahealthspan.com/,seed_2026-09-12
bgibes@fulcrumaesthetics.com,fulcrumaesthetics.com,fulcrumaesthetics.com,"BPC-157, sermorelin and NAD+",Chicago,IL,(773) 219-6989; (773) 598-7003; (773) 799-8664,https://fulcrumaesthetics.com/,seed_2026-09-12
info@ecobelmedspa.com,ecobelmedspa.com,Ecobel Med Spa,"semaglutide, tirzepatide and BPC-157",Atlanta,GA,(404) 960-0812; (470) 670-0450,https://ecobelmedspa.com/,seed_2026-09-12
bortega@broadwayclinic.com,broadwayclinic.com,The Broadway Clinic,"semaglutide, tirzepatide and GLP-1s",Oklahoma City,OK,(212) 555-0110; (405) 528-1936,https://broadwayclinic.com/,seed_2026-09-12
info@optihealthinstitutemd.com,optihealthinstitutemd.com,OptiHealth Institute,NAD+,Baltimore,MD,(443) 407-8577; (443) 707-2202; (443) 707-2204,https://optihealthinstitutemd.com/,seed_2026-09-12
info@myviphealth.com,myviphealth.com,Concierge Care,"semaglutide, NAD+ and GLP-1s",,,,https://myviphealth.com/,seed_2026-09-12
info@somaviewellness.com,somaviewellness.com,somaviewellness.com,NAD+,Indianapolis,IN,(317) 268-5832; (317) 455-8540,https://somaviewellness.com/,seed_2026-09-12
kzuliani@zulianimd.com,zulianimd.com,Zuliani Facial Aesthetics,NAD+ and GLP-1s,Detroit,MI,(248) 322-3362; (248) 332-3362; (248) 975-7356,https://zulianimd.com/,seed_2026-09-12
sp@hlmedspa.com,hlmedspa.com,HL Med Spa,NAD+ and GLP-1s,Newark,NJ,(973) 351-4645,https://hlmedspa.com/,seed_2026-09-12
info@multnomahortho.com,multnomahortho.com,Ortho,peptide therapy,,,,https://multnomahortho.com/,seed_2026-09-12
clinic@cocofinn.com,cocofinn.com,cocoaesthetique.com,CJC-1295,,,,https://cocofinn.com/,seed_2026-09-12
info@falconecenter.com,falconecenter.com,The Falcone Center,"semaglutide, tirzepatide and GLP-1s",,,,https://falconecenter.com/,seed_2026-09-12
info@imagomedicalspa.com,imagomedicalspa.com,Imago Medical Spa,NAD+,Salt Lake City,UT,(385) 388-8600; (480) 626-4366; (801) 295-3439,https://imagomedicalspa.com/,seed_2026-09-12
pauls@newenglandaesthetics.com,newenglandaesthetics.com,newenglandaesthetics.com,GLP-1s,Boston,MA,(857) 226-9900,https://newenglandaesthetics.com/,seed_2026-09-12
info@veincentertampa.com,veincentertampa.com,veincentertampa.com,"semaglutide, BPC-157 and sermorelin",Tampa,FL,(813) 282-0223; (813) 336-5057; (813) 358-1312,https://veincentertampa.com/,seed_2026-09-12
support@b12love.com,b12love.com,b12love.com,"semaglutide, BPC-157 and TB-500",San Francisco,CA,(415) 580-0033,https://b12love.com/,seed_2026-09-12
contact@gracemedspaaustin.com,gracemedspaaustin.com,gracemedspaaustin.com,"semaglutide, tirzepatide and BPC-157",Austin,TX,(512) 229-9169,https://gracemedspaaustin.com/,seed_2026-09-12
info@wilsonmdaesthetics.com,wilsonmdaesthetics.com,wilsonmdaesthetics.com,"semaglutide, tirzepatide and NAD+",Scottsdale,AZ,(480) 757-7105,https://wilsonmdaesthetics.com/,seed_2026-09-12
admin@elevatehealthnv.com,elevatehealthnv.com,elevatehealthnv.com,"semaglutide, tirzepatide and BPC-157",Reno,NV,(775) 430-1207,https://elevatehealthnv.com/,seed_2026-09-12
info@atlasmenshealthny.com,atlasmenshealthny.com,Atlas Men's Health,"semaglutide, tirzepatide and sermorelin",,,,https://atlasmenshealthny.com/,seed_2026-09-12
info@4everyoungstl.com,4everyoungstl.com,4everyoungstl.com,semaglutide and GLP-1s,St. Louis,MO,(314) 330-8117,https://4everyoungstl.com/,seed_2026-09-12
annette@medspasboulder.com,medspasboulder.com,Med Spas Near Boulder,"semaglutide, BPC-157 and sermorelin",Boulder,CO,(720) 222-0224; (720) 680-6748,https://medspasboulder.com/,seed_2026-09-12
hello@medspaclt.com,medspaclt.com,medspaclt.com,"semaglutide, tirzepatide and GLP-1s",Charlotte,NC,(704) 270-8537,https://medspaclt.com/,seed_2026-09-12
info@chicagoaesthetics.com,chicagoaesthetics.com,chicagoaesthetics.com,"BPC-157, sermorelin and NAD+",Chicago,IL,(312) 846-1629,https://chicagoaesthetics.com/,seed_2026-09-12
info@celltechmd.com,celltechmd.com,Cell Tech MD,NAD+ and GLP-1s,Atlanta,GA,(404) 393-7874; (470) 552-1770; (833) 423-5563,https://celltechmd.com/,seed_2026-09-12
info@wheelermedspa.com,wheelermedspa.com,Wheeler Med Spa,sermorelin and NAD+,Oklahoma City,OK,(405) 464-1655,https://wheelermedspa.com/,seed_2026-09-12
hello@thebodybarmd.com,thebodybarmd.com,The Body Bar MD,"semaglutide, tirzepatide and GLP-1s",Baltimore,MD,(443) 355-0777,https://thebodybarmd.com/,seed_2026-09-12
admin@vive-iv.com,vive-iv.com,vIVe Hydration Therapy,NAD+ and PT-141,,,,https://vive-iv.com/,seed_2026-09-12
drip@vitalityivbar.com,vitalityivbar.com,vitalityivbar.com,"semaglutide, NAD+ and GLP-1s",Indianapolis,IN,(317) 419-3749,https://vitalityivbar.com/,seed_2026-09-12
contact@meccamedical.com,meccamedical.com,Mecca Spa NJ,semaglutide and tirzepatide,,,,https://meccamedical.com/,seed_2026-09-12
info@soleilmedicalspa.com,soleilmedicalspa.com,soleilmedicalspapdx.com,NAD+,,,,https://soleilmedicalspa.com/,seed_2026-09-12
info@regwellness.com,regwellness.com,Regenerative Wellness Center,GLP-1s,Salt Lake City,UT,(801) 797-5901; (801) 797-5906,https://regwellness.com/,seed_2026-09-12
info@ammaaesthetics.com,ammaaesthetics.com,AMMA Aesthetics,"tirzepatide, BPC-157 and TB-500",Miami,FL,(786) 558-4239,https://ammaaesthetics.com/,seed_2026-09-12
info@charliechenmd.com,charliechenmd.com,charliechenmd.com,"semaglutide, tirzepatide and BPC-157",San Diego,CA,(260) 818-3072; (858) 255-1538,https://charliechenmd.com/,seed_2026-09-12
info@victoryrejuvenate.com,victoryrejuvenate.com,victoryrejuvenate.com,"BPC-157, sermorelin and ipamorelin",Austin,TX,(512) 969-6900,https://victoryrejuvenate.com/,seed_2026-09-12
info@suddenlyslimmer.com,suddenlyslimmer.com,Suddenly Slimmer Med Spa,"semaglutide, tirzepatide and sermorelin",Phoenix,AZ,(602) 952-8446,https://suddenlyslimmer.com/,seed_2026-09-12
support@gamedaymenshealth.com,gamedaymenshealth.com,gamedaymenshealth.com,"semaglutide, tirzepatide and sermorelin",Henderson,NV,(455) 472-1809; (800) 525-9473; (800) 778-7879,https://gamedaymenshealth.com/,seed_2026-09-12
wellness@goalbmi.com,goalbmi.com,GoalBMI Wellness,"semaglutide, tirzepatide and retatrutide",,,,https://goalbmi.com/,seed_2026-09-12
info@illumemedspa.com,illumemedspa.com,illumemedspa.com,"semaglutide, tirzepatide and NAD+",Kansas City,MO,(816) 214-5260,https://illumemedspa.com/,seed_2026-09-12
info@awakeniv.com,awakeniv.com,Awaken IV,"semaglutide, tirzepatide and NAD+",Boulder,CO,(720) 964-2402,https://awakeniv.com/,seed_2026-09-12
hello@ilumraskin.com,ilumraskin.com,ILŪMRA Skin,NAD+ and GHK-Cu,Raleigh,NC,(919) 503-4361,https://ilumraskin.com/,seed_2026-09-12
info@skinbarandstudio.com,skinbarandstudio.com,skinbarandstudio.com,NAD+,Chicago,IL,(708) 232-3731; (708) 539-8356,https://skinbarandstudio.com/,seed_2026-09-12
info@mcimatlanta.com,mcimatlanta.com,Medical Creations Integrative Medicine,"semaglutide, tirzepatide and GLP-1s",Atlanta,GA,(404) 291-0022; (678) 264-8697; (678) 732-9065,https://mcimatlanta.com/,seed_2026-09-12
info@renewoklahoma.com,renewoklahoma.com,renewoklahoma.com,GLP-1s,Oklahoma City,OK,(405) 810-5944,https://renewoklahoma.com/,seed_2026-09-12
info@good-to-glow.com,good-to-glow.com,good-to-glow.com,peptide therapy,Baltimore,MD,(443) 420-8700,https://good-to-glow.com/,seed_2026-09-12
info@premierweightlossindy.com,premierweightlossindy.com,Premier Weight Loss,"semaglutide, tirzepatide and GLP-1s",,,,https://premierweightlossindy.com/,seed_2026-09-12
info@healthyglowmedspa.com,healthyglowmedspa.com,healthyglowmedspa.com,"semaglutide, tirzepatide and BPC-157",Orlando,FL,(407) 537-9907,https://healthyglowmedspa.com/,seed_2026-09-12
help@beverlyhillsconciergedoctor.com,beverlyhillsconciergedoctor.com,beverlyhillsconciergedoctor.com,"semaglutide, tirzepatide and retatrutide",Los Angeles,CA,(310) 683-0180; (310) 683-0932; (323) 831-1998,https://beverlyhillsconciergedoctor.com/,seed_2026-09-12
info@lavieenrainey.com,lavieenrainey.com,LVS Med Spas,"semaglutide, tirzepatide and BPC-157",,,,https://lavieenrainey.com/,seed_2026-09-12
info@thewellmedspa.com,thewellmedspa.com,The Well Med Spa,"semaglutide, tirzepatide and NAD+",Scottsdale,AZ,(480) 999-9355,https://thewellmedspa.com/,seed_2026-09-12
contactus@bodybalancemedical.com,bodybalancemedical.com,Body Balance Medical,"semaglutide, tirzepatide and sermorelin",Las Vegas,NV,(702) 417-1261,https://bodybalancemedical.com/,seed_2026-09-12
info@heavenlyhydrationli.com,heavenlyhydrationli.com,Heavenly Hydration Medical Spa,"semaglutide, tirzepatide and sermorelin",Long Island,NY,(631) 655-8920,https://heavenlyhydrationli.com/,seed_2026-09-12
hello@edenwellnesskc.com,edenwellnesskc.com,Medical Spa Kansas City,"semaglutide, tirzepatide and GLP-1s",Kansas City,MO,(816) 482-9000,https://edenwellnesskc.com/,seed_2026-09-12
hello@boulderskinbar.com,boulderskinbar.com,Boulder Skin Bar,"semaglutide, tirzepatide and GLP-1s",Boulder,CO,(303) 901-1867,https://boulderskinbar.com/,seed_2026-09-12
info@medishspa.com,medishspa.com,Medish Spa,"semaglutide, tirzepatide and NAD+",Charlotte,NC,(704) 910-5865; (980) 254-8565,https://medishspa.com/,seed_2026-09-12
drmick@elysiumchicago.com,elysiumchicago.com,Elysium Aesthetics + Longevity Chicago,"sermorelin, NAD+ and GLP-1s",Chicago,IL,(312) 888-9361,https://elysiumchicago.com/,seed_2026-09-12
info@skinsocialspa.com,skinsocialspa.com,Skin Social Med Spa,"tirzepatide, NAD+ and GLP-1s",Atlanta,GA,(470) 823-7842,https://skinsocialspa.com/,seed_2026-09-12
info@louloumedspa.com,louloumedspa.com,louloumedspa.com,peptide therapy,Oklahoma City,OK,(405) 774-1989,https://louloumedspa.com/,seed_2026-09-12
admin@raeaesthetic.com,raeaesthetic.com,raeaesthetic.com,"semaglutide, tirzepatide and NAD+",Baltimore,MD,(443) 300-7571; (971) 204-2033,https://raeaesthetic.com/,seed_2026-09-12
reception@wholefamilyhealthcare.com,wholefamilyhealthcare.com,Integrative Medicine Orlando,"BPC-157, TB-500 and sermorelin",Orlando,FL,(407) 644-2990; (407) 833-6300,https://wholefamilyhealthcare.com/,seed_2026-09-12
info@universitytotalwellness.com,universitytotalwellness.com,University Total Wellness,"semaglutide, tirzepatide and sermorelin",Sacramento,CA,(916) 426-7385,https://universitytotalwellness.com/,seed_2026-09-12
info@lechloemedspa.com,lechloemedspa.com,Le Chloe Med Spa,"semaglutide, tirzepatide and retatrutide",Houston,TX,(281) 394-0370,https://lechloemedspa.com/,seed_2026-09-12
admin@azivvitality.com,azivvitality.com,AZ Vitality and Wellness ›,"BPC-157, TB-500 and sermorelin",,,,https://azivvitality.com/,seed_2026-09-12
info@bproyalmedspa.com,bproyalmedspa.com,BP Royal Medspa,"semaglutide, tirzepatide and NAD+",Henderson,NV,(702) 899-7100,https://bproyalmedspa.com/,seed_2026-09-12
info@skinlyaesthetics.com,skinlyaesthetics.com,Skinly Aesthetics,"semaglutide, tirzepatide and NAD+",New York,NY,(212) 774-4264,https://skinlyaesthetics.com/,seed_2026-09-12
info@orchidaestheticskc.com,orchidaestheticskc.com,Orchid Aesthetics,"semaglutide, BPC-157 and sermorelin",Kansas City,MO,(816) 325-3132,https://orchidaestheticskc.com/,seed_2026-09-12
info@helleniclaserspa.com,helleniclaserspa.com,helleniclaserspa.com,"semaglutide, tirzepatide and GLP-1s",Denver,CO,(303) 366-3222,https://helleniclaserspa.com/,seed_2026-09-12
info@trilliumclinic.com,trilliumclinic.com,Trillium Clinic,"semaglutide, tirzepatide and GLP-1s",Raleigh,NC,(919) 710-8100; (919) 747-3999; (919) 823-5681,https://trilliumclinic.com/,seed_2026-09-12
hello@shotbar.net,shotbar.net,Shot Bar MedSpa,GLP-1s,Chicago,IL,(773) 948-9222; (872) 273-6273,https://shotbar.net/,seed_2026-09-12
drbindiyamd@reviveatlantamd.com,reviveatlantamd.com,Revive Atlanta MD,"semaglutide, tirzepatide and ipamorelin",,,,https://reviveatlantamd.com/,seed_2026-09-12
frontdesk@elysianokc.com,elysianokc.com,Elysian Wellness and Aesthetics,GLP-1s,,,,https://elysianokc.com/,seed_2026-09-12
info@plenitudemedspa.com,plenitudemedspa.com,Plenitude Med Spa,"semaglutide, tirzepatide and BPC-157",Miami,FL,(786) 400-1615,https://plenitudemedspa.com/,seed_2026-09-12
info@bluelinewellnessgroup.org,bluelinewellnessgroup.org,Blueline Wellness,"semaglutide, BPC-157 and TB-500",Newport Beach,CA,(714) 200-8406,https://bluelinewellnessgroup.org/,seed_2026-09-12
