vendor,domain,email,all_emails,us_signal,status,evidence_url,audience,peptides,peptide_hits
"Shelton, CT Nutritional IV Therapy",aprmsolutions.com,info@aprmsolutions.com,info@aprmsolutions.com,yes,ok,https://aprmsolutions.com,medspa,"semaglutide, tirzepatide, nad+",10
IV Hydration Services,aquafusioniv.com,wellness@aquafusioniv.com,wellness@aquafusioniv.com,yes,ok,https://aquafusioniv.com,medspa,"semaglutide, tirzepatide, glutathione",7
"Aspire Medical Aesthetics Fort Smith, AR",aspireaestheticsfs.com,info@aspireaestheticsfs.com,info@aspireaestheticsfs.com,yes,ok,https://aspireaestheticsfs.com,medspa,GLP-1 weight loss peptides,5
Atlanta Mobile IV,atlantamobileiv.com,info@atlantamobileiv.com,info@atlantamobileiv.com,yes,ok,https://atlantamobileiv.com,medspa,"nad+, glutathione",4
ATL Live Well,atllivewell.com,info@atllivewell.com,info@atllivewell.com,yes,ok,https://atllivewell.com,medspa,glutathione,6
Austin Love Doctor,austinlovedoctor.com,info@austinlovedoctor.com,info@austinlovedoctor.com,yes,ok,https://austinlovedoctor.com,medspa,,1
Autumn Sun Wellness,autumnsunwellness.com,autumnsunwellness@gmail.com,autumnsunwellness@gmail.com,yes,ok,https://autumnsunwellness.com,medspa,"semaglutide, tirzepatide",5
Awaken Beauty Co,awaken-beautyco.com,info@awaken-beautyco.com,info@awaken-beautyco.com,yes,ok,https://awaken-beautyco.com,medspa,nad+,7
Balanced Hormone Health,balancedhormonehealth.com,info@balancedhormonehealth.com,info@balancedhormonehealth.com,yes,ok,https://balancedhormonehealth.com,medspa,"semaglutide, tirzepatide",10
BALD,balddenver.com,bald@balddenver.com,bald@balddenver.com,yes,ok,https://balddenver.com,medspa,"semaglutide, tirzepatide",9
BEAM Beauty and Wellness,beambeautyandwellness.com,hello@beambeautyandwellness.com,hello@beambeautyandwellness.com,yes,ok,https://beambeautyandwellness.com,medspa,"semaglutide, tirzepatide, nad+",6
Beautify Solutions Med Spa,beautifysolutions.com,beautifysolutionsmedspa@gmail.com,beautifysolutionsmedspa@gmail.com,yes,ok,https://beautifysolutions.com,medspa,GLP-1 weight loss peptides,3
Beleza,beleza-medspa.com,info@beleza-medspa.com,info@beleza-medspa.com,yes,ok,https://beleza-medspa.com,medspa,"semaglutide, tirzepatide",4
Treasure Coast Bioidentical Institute,bioidentical-hrt.org,tcbioidentical@gmail.com,tcbioidentical@gmail.com; drcpasahow@gmail.com,yes,ok,https://bioidentical-hrt.org,vendor,,2
Lux Tan & Cryo,bioloungepdx.com,info@bioloungepdx.com,info@bioloungepdx.com,yes,ok,https://bioloungepdx.com,medspa,,3
Blue Willow Medical Aesthetics,bluewillowmedical.com,eva@bluewillowmedical.com,eva@bluewillowmedical.com,yes,ok,https://bluewillowmedical.com,medspa,"semaglutide, bpc-157, sermorelin, tesamorelin, semax, dsip",12
"IV Therapy in Miramar, FL",bodylaserink.com,bloomhausmedspa@gmail.com,bloomhausmedspa@gmail.com,yes,ok,https://bodylaserink.com,medspa,,1
Elite IV Infusion,bodylogicmd.fit,wellness@bodylogicmd.com,wellness@bodylogicmd.com,yes,ok,https://bodylogicmd.fit,vendor,,1
Advanced TRT Clinic,bouncebackiv.com,info@bouncebackiv.com,info@bouncebackiv.com,yes,ok,https://bouncebackiv.com,medspa,GLP-1 weight loss peptides,3
IV Therapy in Los Gatos,bradfordperkinsmd.com,info@bradfordperkinsmd.com,info@bradfordperkinsmd.com,yes,ok,https://bradfordperkinsmd.com,medspa,"nad+, semaglutide",8
BüDe Aesthetics,budeaesthetics.com,girlbossinjector@gmail.com,girlbossinjector@gmail.com,yes,ok,https://budeaesthetics.com,medspa,semaglutide,4
Calla Medspa,calla-medspa.com,info@calla-medspa.com,info@calla-medspa.com,yes,ok,https://calla-medspa.com,medspa,,1
California Naturopathic Clinic,calnc.com,info@calnc.com,info@calnc.com,yes,ok,https://calnc.com,medspa,"nad+, glutathione",3
"IV Drip in Jacksonville, NC",ccimpa.com,info@ccimpa.com,info@ccimpa.com,yes,ok,https://ccimpa.com,medspa,semaglutide,2
The Center for Aesthetics,cfabeautyjacksonhole.com,cfabeautyjackson@gmail.com,cfabeautyjackson@gmail.com,yes,ok,https://cfabeautyjacksonhole.com,medspa,,1
Clarity Medi Spa LLC,claritymedispa.com,info@claritymedispa.us,info@claritymedispa.us,yes,ok,https://claritymedispa.com,medspa,GLP-1 weight loss peptides,3
CLEARR Mobile IV Hydration,clearrmobileiv.com,info@clearrmobileiv.com,info@clearrmobileiv.com,yes,ok,https://clearrmobileiv.com,medspa,,1
Clinic For Him,clinicforhim.com,contact@clinicforhim.com,contact@clinicforhim.com,yes,ok,https://clinicforhim.com,medspa,,1
Conklin Psychiatric Health,conklinclinics.com,info@conklinclinics.com,info@conklinclinics.com,yes,ok,https://conklinclinics.com,medspa,,1
Craft Men's Clinic,craftmensclinic.com,info@craftmensclinic.com,info@craftmensclinic.com; contact@craftmensclinic.com,yes,ok,https://craftmensclinic.com,medspa,,3
The Aesthetics Project,dallaslaserfacial.com,info@dallaslaserfacial.com,info@dallaslaserfacial.com,yes,ok,https://dallaslaserfacial.com,medspa,glutathione,2
Intu Med Spa,defianthealth.io,hello@defianthealth.io,hello@defianthealth.io,yes,ok,https://defianthealth.io,medspa,"semaglutide, tirzepatide, bpc-157, tb-500, thymosin alpha-1, nad+",35
Home,desertpeakshydration.com,hydrate@desertpeakshydration.com,hydrate@desertpeakshydration.com,yes,ok,https://desertpeakshydration.com,medspa,,1
DevotedDOc Suboxone and General Medicine,devoteddoc.com,contact@devoteddoc.com,contact@devoteddoc.com,yes,ok,https://devoteddoc.com,medspa,,1
4Ever Young Med Spa & Wellness Center,drangiemartinez.com,angie@drangiemartinez.com,angie@drangiemartinez.com,yes,ok,https://drangiemartinez.com,medspa,GLP-1 weight loss peptides,3
DRIPwoRX IV Vitamin Therapy.Health.Wellness (Opening Soon!),dripworx.com,hello@dripworx.com,hello@dripworx.com,yes,ok,https://dripworx.com,medspa,"nad+, glutathione",5
DRIP ZONE OMAHA LLC,dripzoneomaha.com,dripzoneomaha@gmail.com,dripzoneomaha@gmail.com,yes,ok,https://dripzoneomaha.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",15
alisha,dundalkmedicalgroup.com,dmg.telemedicine@gmail.com,dmg.telemedicine@gmail.com; dundalkmedicalgroup@gmail.com,yes,ok,https://dundalkmedicalgroup.com,medspa,,1
Elements of Wellness,elementsofwellness.health,info@elementsofwellness.health,info@elementsofwellness.health,yes,ok,https://elementsofwellness.health,medspa,,1
Elevated Natural Health,elevatednaturalhealth.com,contact@elevatednaturalhealth.com,contact@elevatednaturalhealth.com,yes,ok,https://elevatednaturalhealth.com,medspa,,2
Elevate IV Bar IV Therapy & Wellness,elevateivbar.com,elevateivbarprescott@gmail.com,elevateivbarprescott@gmail.com,yes,ok,https://elevateivbar.com,medspa,,1
IV Fluid Therapy,elevatemedandaesthetics.com,info@elevatemedandaesthetics.com,info@elevatemedandaesthetics.com,yes,ok,https://elevatemedandaesthetics.com,medspa,glutathione,5
Elevate Men's Health and TRT,elevatetrtnow.com,info@elevatetrtnow.com,info@elevatetrtnow.com,yes,ok,https://elevatetrtnow.com,medspa,GLP-1 weight loss peptides,6
EliteBio: Hormone and Aesthetic Solutions,elite-bio.com,info@elite-bio.com,info@elite-bio.com,yes,ok,https://elite-bio.com,medspa,"semaglutide, tirzepatide",7
Elite MD,elitemdlui.com,info@elitemdlui.com,info@elitemdlui.com,yes,ok,https://elitemdlui.com,medspa,,2
Elite Testosterone Center,elitetestosteronestl.com,testosterone.elite@gmail.com,testosterone.elite@gmail.com,yes,ok,https://elitetestosteronestl.com,medspa,GLP-1 weight loss peptides,3
Wellness Center,energytorrington.com,dinacateno@gmail.com,dinacateno@gmail.com; energymanagers59@gmail.com,yes,ok,https://energytorrington.com,medspa,,2
"IV Therapy in Oviedo, FL",enorawellnessandaesthetics.com,mk@enorawellnessandaesthetics.com,mk@enorawellnessandaesthetics.com,yes,ok,https://enorawellnessandaesthetics.com,medspa,"semaglutide, tirzepatide, nad+, glutathione",12
IV Therapy and,eternalyouthaesthetic.com,hello@eternalyouthaesthetic.com,hello@eternalyouthaesthetic.com,yes,ok,https://eternalyouthaesthetic.com,medspa,glutathione,5
Evexia Hydration,evexiahydration.com,amanda@evexiahydration.com,amanda@evexiahydration.com,yes,ok,https://evexiahydration.com,medspa,nad+,2
OsteoStrong,evolveantiaging.com,connect@evolveantiaging.com,connect@evolveantiaging.com,yes,ok,https://evolveantiaging.com,medspa,semaglutide,8
Exceed Hormone Specialists,exceedhs.com,info@exceedhs.com,info@exceedhs.com,yes,ok,https://exceedhs.com,medspa,,1
The FaceBar Aesthetic Medicine,facebaram.com,connect@facebaram.com,connect@facebaram.com,yes,ok,https://facebaram.com,medspa,GLP-1 weight loss peptides,3
Fairway Men's Health,fairwaymenshealth.com,info@fairwaymenshealth.com,info@fairwaymenshealth.com; u003einfo@fairwaymenshealth.com,yes,ok,https://fairwaymenshealth.com,medspa,"semaglutide, tirzepatide",5
Iv Therapy Jersey City,familywisecare.com,betterhealth@familywisecare.com,betterhealth@familywisecare.com,yes,ok,https://familywisecare.com,medspa,nad+,3
FemSculpt Cosmetic Gynecology,femsculpt.com,info@femsculpt.com,info@femsculpt.com,yes,ok,https://femsculpt.com,medspa,,1
"Drip Trussville IV Therapy, 133 North Chalkville Road, Trussville, AL",findhealthclinics.com,support@findhealthclinics.com,support@findhealthclinics.com,yes,ok,https://findhealthclinics.com,medspa,semaglutide,1
Finesse Beauty and Wellness Medspa LLC,finessebeautyandwellness.com,info@finessebeautyandwellness.com,info@finessebeautyandwellness.com,yes,ok,https://finessebeautyandwellness.com,medspa,"semaglutide, tirzepatide",3
IV Vitamins and Hydration,fletchermedspa.com,fletchermedspa@gmail.com,fletchermedspa@gmail.com,yes,ok,https://fletchermedspa.com,medspa,"semaglutide, tirzepatide",5
Flow IV Hydration & Wellness,flowivhydrationandwellness.com,flowivhydrationandwellness@gmail.com,flowivhydrationandwellness@gmail.com; flowivhydrationwellness@gmail.com,yes,ok,https://flowivhydrationandwellness.com,vendor,glutathione,2
Florida Native Medical,fnmedical.net,info@fnmedical.net,info@fnmedical.net; floridanativemedical@gmail.com,yes,ok,https://fnmedical.net,medspa,"nad+, semaglutide",5
Forever Young,foreveryoung-solutions.com,kate@foreveryoung-solutions.com,kate@foreveryoung-solutions.com; foreveryoungsolutions644@gmail.com,yes,ok,https://foreveryoung-solutions.com,medspa,GLP-1 weight loss peptides,4
Elite Wellness & Aesthetics,fortsmithelite.com,elitewa@fortsmithelite.com,elitewa@fortsmithelite.com,yes,ok,https://fortsmithelite.com,medspa,nad+,4
Fountain of Youth Medical Spa,foyms.com,victor.dsm.2012@gmail.com,victor.dsm.2012@gmail.com,yes,ok,https://foyms.com,medspa,GLP-1 weight loss peptides,4
Frontline Alternative,frontlinealternative.com,info@frontlinealternative.com,info@frontlinealternative.com,yes,ok,https://frontlinealternative.com,medspa,"tirzepatide, retatrutide, bpc-157, tb-500, glutathione",9
Fusion Hydration Rancho Bernardo,fusionhydrationresorts.com,contact@fusionhydrationresorts.com,contact@fusionhydrationresorts.com,yes,ok,https://fusionhydrationresorts.com,medspa,"nad+, glutathione",4
Fusion Wellness Center,fusionwellnessftl.com,info@fusionwellnessftl.com,info@fusionwellnessftl.com,yes,ok,https://fusionwellnessftl.com,medspa,"nad+, oxytocin",9
Genesis Health,genesishealthutah.com,tyler@genesishealthutah.com,tyler@genesishealthutah.com; optimizedhealthbyjenn@gmail.com,yes,ok,https://genesishealthutah.com,medspa,semaglutide,6
Glow By K2 Aesthetics and Beauty Bar,glowbyk2.com,glowbyk2@gmail.com,glowbyk2@gmail.com,yes,ok,https://glowbyk2.com,medspa,,3
Goldensita,goldensita.com,ursulacatts@gmail.com,ursulacatts@gmail.com,yes,ok,https://goldensita.com,vendor,"bpc-157, tb-500, thymosin alpha-1, sermorelin, selank, semax",12
IV Therapy Folsom,goldenstateurology.com,info@goldenstateurology.com,contact@goldenstateurology.com; info@goldenstateurology.com,yes,ok,https://goldenstateurology.com,medspa,,1
IV Therapy,goldtanandsunsetspasudbury.com,info@goldtanandsunsetspasudbury.com,info@goldtanandsunsetspasudbury.com,yes,ok,https://goldtanandsunsetspasudbury.com,medspa,"nad+, glutathione",2
The Well Longevity Health,gotothewellhealth.com,jwhite@gotothewellhealth.com,jwhite@gotothewellhealth.com,yes,ok,https://gotothewellhealth.com,medspa,,2
Grand Aesthetics,grandaestheticsjh.com,grandaestheticsjh@yahoo.com,grandaestheticsjh@yahoo.com,yes,ok,https://grandaestheticsjh.com,medspa,GLP-1 weight loss peptides,3
Haus of Confidence,hausofconfidence.com,info@hausofconfidence.com,info@hausofconfidence.com,yes,ok,https://hausofconfidence.com,medspa,GLP-1 weight loss peptides,6
IV infusion,hawkeyemedicalservices.com,jmsciarrotta@hawkeyemedicalservices.com,jmsciarrotta@hawkeyemedicalservices.com,yes,ok,https://hawkeyemedicalservices.com,medspa,glutathione,5
Healios Laser Therapy,healioslasertherapy.com,info@healioslasertherapy.com,info@healioslasertherapy.com,yes,ok,https://healioslasertherapy.com,medspa,,1
Radiant Integrative Health,healthbyradiant.com,radiantihc@gmail.com,radiantihc@gmail.com,yes,ok,https://healthbyradiant.com,medspa,glutathione,4
"IV Therapy in Annapolis, MD",helloeuna.com,info@helloeuna.com,info@helloeuna.com,yes,ok,https://helloeuna.com,medspa,,2
Highland Hills Aesthetics,highlandhillsbr.com,support@highlandhillsbr.com,support@highlandhillsbr.com; medical@highlandhillsbr.com,yes,ok,https://highlandhillsbr.com,medspa,"semaglutide, tirzepatide",6
Holistik Wellness Center,holistikwellnesscenter.com,info@holistikwellnesscenter.com,info@holistikwellnesscenter.com,yes,ok,https://holistikwellnesscenter.com,medspa,GLP-1 weight loss peptides,5
Hollyday Med Spa + Aesthetics,hollydayspa.com,hollydayinc@gmail.com,hollydayinc@gmail.com,yes,ok,https://hollydayspa.com,medspa,,2
Honeyglow Wellness,honeyglowwellness.com,info@honeyglowwellness.com,info@honeyglowwellness.com,yes,ok,https://honeyglowwellness.com/pages/contact,medspa,,3
HOOT HRT,hoothrt.com,info@hoothrt.com,info@hoothrt.com,yes,ok,https://hoothrt.com,medspa,semaglutide,8
HRT Doctors Group,hrtdoctorsgroup.com,info@hrtdoctorsgroup.com,info@hrtdoctorsgroup.com,yes,ok,https://hrtdoctorsgroup.com,medspa,,3
Hydro Glo Health,hydroglohealth.com,christine.dinoia73@gmail.com,christine.dinoia73@gmail.com,yes,ok,https://hydroglohealth.com,medspa,"semaglutide, tirzepatide, nad+, sermorelin, glutathione",10
Identity Hormones and Healthcare,identityhormones.com,info@identityhormones.com,phoenix@identityhormones.com; denver@identityhormones.com; henderson@identityhormones.com; sugarhouse@identityhormones.com; info@identityhormones.com,yes,ok,https://identityhormones.com,medspa,,1
Herb4Us & Acupuncture,ilaramedspa.com,info@ilaramedspa.com,info@ilaramedspa.com; hello@ilaramedspa.com,yes,ok,https://ilaramedspa.com,medspa,,1
Ili Nani Med Spa,ilinanimedspa.com,nicole@ilinanimedspa.com,nicole@ilinanimedspa.com; brooken@ilinanimedspa.com; brooke@ilinanimedspa.com; kelsy@ilinanimedspa.com,yes,ok,https://ilinanimedspa.com,medspa,"semaglutide, tirzepatide",5
IV Therapy,imperiumhealthcare.com,hiringimperium@outlook.com,hiringimperium@outlook.com,yes,ok,https://imperiumhealthcare.com,medspa,,1
Indigo Wellness Group,indigowellnessgroup.com,hello@indigowellnessgroup.com,hello@indigowellnessgroup.com,yes,ok,https://indigowellnessgroup.com,medspa,GLP-1 weight loss peptides,4
Infinity Medical Wellness,infinitymedwellness.com,info@infinitymedwellness.com,info@infinitymedwellness.com,yes,ok,https://infinitymedwellness.com,medspa,nad+,4
Infinity Wellness Clinic,infinitywellnessclinic.com,info@infinitywellnessclinic.com,info@infinitywellnessclinic.com,yes,ok,https://infinitywellnessclinic.com,medspa,,3
Infuse IV Wellness,infuse.health,jenn@infuse.health,jenn@infuse.health,yes,ok,https://infuse.health,medspa,"semaglutide, tirzepatide, bpc-157, tb-500, thymosin alpha-1, nad+",24
Injection Bar,injection-bar.com,info@injection-bar.com,info@injection-bar.com,yes,ok,https://injection-bar.com,medspa,"semaglutide, tirzepatide, nad+, ipamorelin, sermorelin, semax",13
Iron Direct Primary Care,irondpc.com,lynne.irondpc@gmail.com,lynne.irondpc@gmail.com; belle.irondpc@gmail.com; ashley.irondpc@gmail.com; anna.irondpc@gmail.com,yes,ok,https://irondpc.com,medspa,,2
IV Lounge,iv-lounge.com,info@iv-lounge.com,info@iv-lounge.com,yes,ok,https://iv-lounge.com,medspa,nad+,2
IV & Wellness MedSpa,ivandwellness.com,brooklyne@ivandwellness.com,brooklyne@ivandwellness.com,yes,ok,https://ivandwellness.com,medspa,,1
"Doral, FL",ivbrothers.com,admin@ivbrothers.com,admin@ivbrothers.com,yes,ok,https://ivbrothers.com,medspa,"nad+, glutathione",3
IV Drip Company Tempe,ivdripco.com,info@ivdripco.com,info@ivdripco.com,yes,ok,https://ivdripco.com,medspa,nad+,2
IV Drip Ladies,ivdripladies.com,donna@ivdripladies.com,donna@ivdripladies.com,yes,ok,https://ivdripladies.com,medspa,"semaglutide, glutathione",4
IVMEDSPA,ivmedspa.com,info@ivmedspa.com,info@ivmedspa.com,yes,ok,https://ivmedspa.com,medspa,,2
HOME,ivnurses.org,contact@ivnurses.org,contact@ivnurses.org,yes,ok,https://ivnurses.org,medspa,"nad+, glutathione",4
Mobile IV Therapies Newport Beach,ivregen.com,info@ivregen.com,info@ivregen.com,yes,ok,https://ivregen.com,medspa,"nad+, glutathione",3
Jax Beach Body MD Aesthetic Wellness,jaxbeachbodymd.com,jaxbeachbodymd@yahoo.com,jaxbeachbodymd@yahoo.com,yes,ok,https://jaxbeachbodymd.com,medspa,,2
Juvé Medical Spa,juvemedicalspa.com,owner@juvemedicalspa.com,owner@juvemedicalspa.com,yes,ok,https://juvemedicalspa.com,medspa,"semaglutide, tirzepatide",9
"IV Hydration Therapy in St. George, UT",k2medspa.com,info@k2medspa.com,info@k2medspa.com,yes,ok,https://k2medspa.com,medspa,GLP-1 weight loss peptides,7
Healing Springs Medical Spa and Mountain State Cosmetic,kalosaesthetics.net,kalosaestheticsllc@gmail.com,kalosaestheticsllc@gmail.com,yes,ok,https://kalosaesthetics.net,medspa,,2
"IV Hydration for Plano, TX",kamcarehealth.com,patientinfo@kamcarehealth.com,patientinfo@kamcarehealth.com,yes,ok,https://kamcarehealth.com,medspa,,1
Advanced TRT Clinic,katetenneynd.com,info@katetenneynd.com,info@katetenneynd.com,yes,ok,https://katetenneynd.com,medspa,,2
KB Aesthetics Chicago,kbaestheticschicago.glossgenius.com,info@kbaestheticschicago.com,info@kbaestheticschicago.com,yes,ok,https://kbaestheticschicago.glossgenius.com,medspa,"semaglutide, tirzepatide",4
IV Therapy & Treatments,kchs.org,info@kchs.org,info@kchs.org,yes,ok,https://kchs.org,medspa,,1
Ketamine Wellness Infusions PA,ketaminewellnessinfusionspa.com,info@ketaminewellnessinfusionspa.com,info@ketaminewellnessinfusionspa.com,yes,ok,https://ketaminewellnessinfusionspa.com,medspa,,1
KYA IV & Aesthetics,kyaivbeauty.com,info@kyaivbeauty.com,info@kyaivbeauty.com,yes,ok,https://kyaivbeauty.com,medspa,"semaglutide, nad+",4
"Lake Oswego Health Center, PC",lakeoswegohealth.com,info@lakeoswegohealth.com,info@lakeoswegohealth.com,yes,ok,https://lakeoswegohealth.com,medspa,kpv,5
IV Therapy,leveluphealth.clinic,support@leveluphealth.clinic,support@leveluphealth.clinic,yes,ok,https://leveluphealth.clinic,medspa,"nad+, glutathione",6
Level Up Men's Health,levelupmen.com,info@levelupmen.com,info@levelupmen.com,yes,ok,https://levelupmen.com,medspa,"semaglutide, tirzepatide",5
Lifespring Health Center,lifespringhealthcenter.com,info@lifespringhealthcenter.com,info@lifespringhealthcenter.com,yes,ok,https://lifespringhealthcenter.com,medspa,,3
Line Plastic Surgery Center,lineps.com,info@lineps.com,info@lineps.com; irvine@lineps.com,yes,ok,https://lineps.com,medspa,tirzepatide,3
Linz Aesthetics Clinic,linzaesthetics.com,linzaesthetics@gmail.com,linzaesthetics@gmail.com,yes,ok,https://linzaesthetics.com,medspa,,2
Lodi Advanced Medical Center,lodiadvancedmedicalcenters.com,lodiadvancedmedicalcenter@gmail.com,lodiadvancedmedicalcenter@gmail.com; lodiadvancedmedical@gmail.com,yes,ok,https://lodiadvancedmedicalcenters.com,medspa,,3
Longevity 360 Med Spa,longevity360spa.com,info@longevity360spa.com,info@longevity360spa.com,yes,ok,https://longevity360spa.com,medspa,,3
Longevity Lounge,longevityloungespa.com,longevityloungespa@gmail.com,longevityloungespa@gmail.com,yes,ok,https://longevityloungespa.com,medspa,,1
Low T 99,lowt99.com,info@lowt99.com,info@lowt99.com,yes,ok,https://lowt99.com,medspa,,2
Lumina Wellness & Aesthetics,luminawellnesscenter.com,info@luminawellnesscenter.com,info@luminawellnesscenter.com,yes,ok,https://luminawellnesscenter.com,medspa,,3
Luna Wellness & Aesthetics,lunawellnessct.com,jen@lunawellnessct.com,jen@lunawellnessct.com; lunawellnessct@gmail.com,yes,ok,https://lunawellnessct.com,medspa,"semaglutide, tirzepatide",4
Main Street Med Spa,mainstmedspa.com,hello@mainstmedspa.com,hello@mainstmedspa.com,yes,ok,https://mainstmedspa.com,medspa,,1
Manly Clinic,manlyclinic.com,support@manlyclinic.com,support@manlyclinic.com,yes,ok,https://manlyclinic.com,medspa,"semaglutide, tirzepatide, nad+",4
Marcus Clinic: Testosterone and Mental Health,marcusclinic.com,info@marcusclinic.com,info@marcusclinic.com; hello@marcusclinic.com,yes,ok,https://marcusclinic.com,medspa,,2
"The Maryland Center for Hormones and Wellness, LLC",marylandhormones.com,info@marylandhormones.com,info@marylandhormones.com,yes,ok,https://marylandhormones.com,medspa,,3
The Med Spa of Flower Mound,medspafm.com,info@medspafm.com,info@medspafm.com,yes,ok,https://medspafm.com,medspa,,1
Suncare Medspa-尔湾最好的医美中心 Botox 注射美容 溶脂注射 水光针 皮秒激光 热玛吉 超声刀提升 光子嫩肤 玻尿酸填充,medspairvine.com,suncare2022@gmail.com,suncare2022@gmail.com,yes,ok,https://medspairvine.com,medspa,"nad+, glutathione",3
The Men's Clinic for Wellness and Vitality,mensclinicaz.com,pjchecky@protonmail.com,pjchecky@protonmail.com; themensclinicaz@protonmail.com,yes,ok,https://mensclinicaz.com,vendor,,1
"IV Therapy in Wilton Manors, FL",miami.caritashomehealthcare.com,info@caritashomehealthcare.com,info@caritashomehealthcare.com,yes,ok,https://miami.caritashomehealthcare.com,medspa,,1
Miami Men's,miamimens.com,concierge@miamimens.com,concierge@miamimens.com,yes,ok,https://miamimens.com,medspa,GLP-1 weight loss peptides,2
Mobile IV Care,mobileivcare.com,maloriqat@mobileivcare.com,maloriqat@mobileivcare.com,yes,ok,https://mobileivcare.com/contact,medspa,,1
Mobile IV Drip,mobileivdrip.com,bookings@mobileivdrip.com,bookings@mobileivdrip.com; careers@mobileivdrip.com,yes,ok,https://mobileivdrip.com,medspa,,1
"Mobile IV Therapy Oakland, CA",mobileivnapasonoma.com,santarosamobileiv@gmail.com,santarosamobileiv@gmail.com,yes,ok,https://mobileivnapasonoma.com,medspa,"nad+, glutathione",4
"Mobile IV Therapy in Aventura, FL",mobileivnursepaul.com,mobileivnursepaul@gmail.com,mobileivnursepaul@gmail.com,yes,ok,https://mobileivnursepaul.com,medspa,"nad+, glutathione",3
Modern Line Med Spa,modernlinemedspa.com,carrollton@modernlinemedspa.com,carrollton@modernlinemedspa.com,yes,ok,https://modernlinemedspa.com,medspa,"semaglutide, liraglutide",5
Hydra Heal Mobile IV,modlongevity.com,hello@modlongevity.com,hello@modlongevity.com,yes,ok,https://modlongevity.com,medspa,"retatrutide, bpc-157, nad+, ipamorelin, sermorelin, cjc-1295",29
Mojo Health & Hydration,mojohydration.com,info@mojohydration.com,info@mojohydration.com,yes,ok,https://mojohydration.com,medspa,"nad+, glutathione",3
"IV Therapy Treatments in Brooklyn, NY",mrswebbaesthetic.com,info@mrswebbaesthetic.com,info@mrswebbaesthetic.com,yes,ok,https://mrswebbaesthetic.com,medspa,GLP-1 weight loss peptides,4
Skinworx,myskinworx.com,cheryl@myskinworx.com,cheryl@myskinworx.com,yes,ok,https://myskinworx.com,medspa,,1
Terra Aesthetics & Wellness,myterrawellness.com,info@myterrawellness.com,info@myterrawellness.com,yes,ok,https://myterrawellness.com,medspa,,1
My Wellness Haven Med Spa,mywellnesshavenmedspa.com,info@mywellnesshavenmedspa.com,info@mywellnesshavenmedspa.com,yes,ok,https://mywellnesshavenmedspa.com,medspa,,1
Natural Medicine Center of Lakeland,naturallakeland.com,info@naturallakeland.com,info@naturallakeland.com,yes,ok,https://naturallakeland.com,medspa,"nad+, glutathione, oxytocin",6
IV Therapy,nestandcare.com,care@nestandcare.com,kat@nestandcare.com; care@nestandcare.com,yes,ok,https://nestandcare.com,medspa,,1
New Day Vitality Hormone Center,newdayvitality.com,freeconsult@newdayvitality.com,freeconsult@newdayvitality.com,yes,ok,https://newdayvitality.com,medspa,,1
Peak Health and Wellness Mobile IV now in Black Forest,newfalconherald.com,michelle@newfalconherald.com,michelle@newfalconherald.com; marylounfh@gmail.com,yes,ok,https://newfalconherald.com,medspa,,1
NOLA Doc,noladoc.com,info@noladoc.com,info@noladoc.com,yes,ok,https://noladoc.com,medspa,,1
IV Therapy,northernkentuckypainrelief.com,support@northernkentuckypainrelief.com,support@northernkentuckypainrelief.com,yes,ok,https://northernkentuckypainrelief.com,medspa,,1
