vendor,domain,email,status,audience,peptides,source
Anara Medspa & Cosmetic Laser Center,anaramedspa.com,info@anaramedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Nova Piel Med Spa,novapielmedspa.com,info@novapielmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
SLAE Aesthetics & Wellness,slaeaesthetics.com,hello@slaeaesthetics.com,ok,medspa,GLP-1 weight loss peptides,b6a14c7b-medspa_instagram_top.md
VIO Med Spa Boston,viomedspa.com,burlington@viomedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Newport Beach MedSpa,newportbeachmedspa.com,info@newportbeachmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
4Ever Young Flower Mound,4everyoungflowermoundtx.com,info@4everyoungflowermoundtx.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Toxxology Nashville Med Spa,toxxology.com,service@toxxology.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
4Ever Young Scottsdale,4everyoungscottsdale.com,info@4everyoungscottsdale.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Stadia Med Spa,stadiamedspa.com,info@stadiamedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Facial Mania Medspa Orlando,facialmaniamedspa.com,uma@facialmaniamedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Dr. Hong Med Spa,drhongmedspa.com,info@drhongmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
PhillyMedClub,phillymedclub.com,info@phillymedclub.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
4Ever Young Mount Pleasant,4everyoungmtpleasant.com,info@4everyoungmtpleasant.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Charlotte Medical Aesthetics,cltmedaesthetics.com,hello@cltmedaesthetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
The Beaumont Med Spa,thebeaumontmedspa.com,info@thebeaumontmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Skinlogic Med Spa,skinlogicmedspa.com,info@skinlogicmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Skin Deep Laser MD,skindeeplasermd.com,info@skindeeplasermd.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
PURE Cosmetic Center,purecosmeticcenter.com,info@purecosmeticcenter.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Gold Coast MedSpa,goldcoastmedspa.com,gcms@goldcoastmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Taylored 2U Aesthetics,taylored2u.co,taylor@taylored2u.co,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Khronos Medspa,khronosmedspa.com,info@khronosmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
AURAE Modern Medical + Spa,auraemedspa.com,info@auraemedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
La Vita MedSpa & Laser,lavita-nyc.com,info@lavita-nyc.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Monumental Med Spa,monumentalmedspa.com,monumentalmicroderm@msn.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Sculpted Contours MedSpa,sculptedcontours.com,sculpted@sculptedcontours.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Eternia Medspa,eterniamedspa.com,info@eterniamedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Opal MD Aesthetics,opalmdaesthetics.com,info@opalmdaesthetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Coastal Health & Medical Spa,coastalmedicalspa.com,info@coastalmedicalspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Pure Beauty Med Spa,thepurebeautymedspa.com,thepurebeautymedspa@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Ocean Club MedSpa,oceanclubmedspa.com,info@oceanclubmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
LUX MedSpa Brickell,luxmedspabrickell.com,info@luxmedspabrickell.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Umoya Wellness Spa,myumoya.com,umoyahelp@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Amatista Med Spa,amatistamedspa.glossgenius.com,amatistamedspa@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Allurant Med Spa,allurantmedical.com,mdeghati@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
4Ever Young Aventura,4everyoungaventura.com,info@4everyoungaventura.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
7Q Spa Laser & Aesthetics,7qspa.com,info@7qspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
A E Skin,aeskin.com,staff@aeskin.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Amerejuve Houston,amerejuvemedspa.com,tara.williams@amerejuvemedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Auveau Medspa,auveau.com,info@auveau.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Avere Beauty,averebeauty.com,averebeauty7@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Babyface Beauty & Wellness,babyfacebeautywellness.com,carly@babyfacebeautywellness.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Beauty Boost Med Spa,beautyboostmedspa.com,info@beautyboostmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Beauty Religion,beautyreligion.com,contact@beautyreligion.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Bella Glo Medical Aesthetics & Wellness,bellagloaesthetics.com,hello@bellagloaesthetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Bella Sante,bellasante.com,bellasanteboston@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Bellava Aesthetics,bellavaaesthetics.com,bellavaaesthetics@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Blue Seas Med Spa,blueseasmedspa.com,indulge@blueseasmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Calabloom MedSpa,calabloom.com,info@calabloom.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Call of Beauty Med Spa,callofbeautymedspa.com,info@callofbeautymedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Cosmetic Injectables Center MedSpa,cicproviders.com,info@cicproviders.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
DejaVu Med Spa Colorado,dejavumed.com,dvmedspa@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Dr Refresh Med Spa,drrefresh.com,drrefresh@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Face Lab Aesthetics,facelabnky.com,katherine@facelabnky.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Fix Med Spa,fixmedspa.com,info@fixmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Flawless Skin Center,flawlessskincenter.com,info@flawlessskincenter.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Glow Medispa,glowspaseattle.com,info@glowspaseattle.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Glow Up Med Spa,glowupmedspa.com,info@glowupmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
House of Contour Med Spa,houseofcontour.net,info@houseofcontour.net,ok,medspa,GLP-1 weight loss peptides,b6a14c7b-medspa_instagram_top.md
JTN Aesthetics,joannathenurse.com,hello@joannathenurse.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Katalyst Wellness,katalystwellness.com,info@katalystwellness.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Kay Dermatology,kaydermatology.com,jessica@kaydermatology.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
La Bella Laser Aesthetics,labellalaseraesthetic.com,labellabeautyllc@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
La Jolla Cosmetic Medical Spa,ljcmedspa.com,info@ljcmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
La Reserve NYC,lareservenycity.com,info@lareservenycity.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Le' Belle Medi Spa,lebellemedispa.com,lebellemedispa@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
LEINE Seattle Acne Clinic & Med Spa,leinemedspa.com,info@leinemedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Local Aesthetics of Colorado,localaestheticsofcolorado.com,tricia@localaestheticsofcolorado.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Luxe Beauty Medspa,luxe-medspa.com,luxebeautyxmedspa@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Mara's Med Spa,marasmedspa.com,uptown@marasmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Marie Monet's European Skin Care Med Spa,mariemonet.com,monetsskincare@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Masters Medspa,masters-medspa.com,stacey@masters-medspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Our Skin Space,ourskinspace.com,info@ourskinspace.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Peak Image Med Spa,peakimagemedspa.com,info@peakimagemedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Plump Medical Spa,plumpmedicalspa.com,info@plumpmedicalspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Prick'd Med Spa,prickdmedspa.com,getprickd@prickdmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Rejuvene Wellness,rejuvenewellness.com,rejuvene25@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Revive Med Spa,revive.md,info@revive.md,ok,vendor,,b6a14c7b-medspa_instagram_top.md
San Antonio Med Spa,samedspa.com,info@samedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Sculpted Symmetry Med Spa,sculptedsymmetry.com,beautysquad@sculptedsymmetry.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Shantique Med Spa,shantiquemedspa.com,info@shantiquemedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Skin Brava Aesthetics,skinbrava.com,staci@skinbrava.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
SKIN Med Spa & Laser,skinmedspas.com,skinmedspastexas@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Skin Theory,skintheoryny.com,info@skintheoryny.com,ok,medspa,semaglutide,b6a14c7b-medspa_instagram_top.md
SOKO Aesthetics & Wellness,sokokc.com,hello@sokokc.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Starwood Med Spa,starwoodmedspa.com,info@starwoodmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
The Aesthetic Place,theaestheticplacekc.com,kristen.nurseinjector@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
The Cure Medical Aesthetics,thecuremedspa.com,info@thecuremedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
The Injection Room,theinjectionroom.com,info@theinjectionroom.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Thrive Med Spa,cincinnatithrive.com,info@cincinnatithrive.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Touch of Class Medspa & Laser Center,touchofclassmedspa.com,info@touchofclassmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Touch of Glamour,touchofglamourct.com,admin@touchofglamourct.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Trilogy Medispa,trilogy-medispa.com,trilogymedispa@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Tru Med Spa,trumedspa.la,info@trumedspa.la,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Urban Aesthetic Med Spa,urbanaestheticmedspa.com,info@urbanaestheticmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Vitality Aesthetics,vitalitysandiego.com,team@vitalitysandiego.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Vitalyc Medspa,vitalycmedspa.com,dallas@vitalycmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Xthetics Med Spa,xtheticsmedspa.com,info@xtheticsmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Younique Cosmetic Surgery & Med Spa,youniquemedical.com,office@youniquemedical.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Akari MedSpa,akarimedspa.com,info@akarimedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Alira Med-Spa,aliramedspa.com,info@aliramedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Biolite Wellness,biolitewellness.com,concierge@biolitewellness.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Gardenia Aesthetics & Wellness,gardeniaaesthetics.com,info@gardeniaaesthetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Glow Theory Med Spa,myglowtheory.com,contact@myglowtheory.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Glowtox Aesthetics,glowtoxaesthetics.com,info@glowtoxaesthetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Gold Coast Aesthetics,goldcoastaesthetics.com,info@goldcoastaesthetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
House of Aesthetics Med Spa,houseofaestheticsmedspa.com,info@houseofaestheticsmedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Iconique Medical Aesthetics,iconiquemedspa.com,info@iconiquemedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Jade MD Aesthetics,jademdaesthetics.com,jademdaesthetics@gmail.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Noble Wellness & Aesthetics,noblewellnessandaesthetics.com,info@noblewellnessandaesthetics.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
PRFCT,helloprfct.com,feelgood@helloprfct.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Serenity Medical Aesthetics,serenitymed.co,hello@serenitymed.co,ok,vendor,,b6a14c7b-medspa_instagram_top.md
South Bay Med Spa,southbaymedspa.com,info@southbaymedspa.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
West Point Aesthetic Center,iebotox.com,patientrep@iebotox.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Z Center for Cosmetic Health,zcosmetichealth.com,info@zcosmetichealth.com,ok,vendor,,b6a14c7b-medspa_instagram_top.md
Hers,forhers.com,support@forhers.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Musely,musely.com,katy@musely.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Hims,forhims.com,support@forhims.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Everlywell,everlywell.com,contact@everlywell.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Lumen,lumen.me,support@lumen.me,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Nourish,usenourish.com,hello@usenourish.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
InsideTracker,insidetracker.com,contactus@insidetracker.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Westlake Dermatology,westlakedermatology.com,comments@westlakedermatology.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Ro,ropharmacy.com,care@ropharmacy.com,ok,medspa,GLP-1 weight loss peptides,ab6d2b55-telehealth_instagram_top.md
MDacne,mdacne.com,support@mdacne.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Agency Skin,withagency.com,hello@withagency.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Hinge Health,hingehealth.com,help@hingehealth.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Nutrisystem,nutrisystem.com,socialmedia@nutrisystem.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Mochi Health,joinmochi.com,social@joinmochi.com,ok,medspa,GLP-1 weight loss peptides,ab6d2b55-telehealth_instagram_top.md
Fridays Health,joinfridays.com,hello@joinfridays.com,ok,medspa,GLP-1 weight loss peptides,ab6d2b55-telehealth_instagram_top.md
Found,joinfound.com,support@joinfound.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Culina Health,culinahealth.com,info@culinahealth.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
AgelessRx,agelessrx.com,info@agelessrx.com,ok,medspa,GLP-1 weight loss peptides,ab6d2b55-telehealth_instagram_top.md
Dear Brightly,dearbrightly.com,support@dearbrightly.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
ResMed,resmed.com,news@resmed.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
LifeMD,lifemd.com,info@lifemd.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Calibrate,joincalibrate.com,hello@joincalibrate.com,ok,medspa,GLP-1 weight loss peptides,ab6d2b55-telehealth_instagram_top.md
Derm to Door,dermtodoor.com,orders@dermtodoor.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Workit Health,workithealth.com,hello@workithealth.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Form Health,formhealth.co,info@formhealth.co,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Skincredible Dermatology,skincredibledermatology.com,info@skincredibledermatology.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Lofta,lofta.com,marketing@lofta.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Plenity,tryplenity.com,marketing@tryplenity.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
EVRYMAN,evryman.co,dan@evryman.co,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Knownwell,knownwell.health,info@knownwell.health,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
InStride Health,instridehealth.com,info@instridehealth.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Wellory,wellory.com,hello@wellory.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Wondr Health,wondrhealth.com,marketing@wondrhealth.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Kinspire,kinspireapp.com,social@kinspireapp.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Metabolic Research Center,emetabolic.com,support@emetabolic.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Handspring Health,handspringhealth.com,hello@handspringhealth.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Kaia Health,kaia-health.com,info@kaia-health.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Klarity Health,helloklarity.com,patientsupport@helloklarity.com,ok,medspa,GLP-1 weight loss peptides,ab6d2b55-telehealth_instagram_top.md
SkyMD,skymd.com,support@skymd.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
U.S. Dermatology Partners,usdermpartners.com,social@usdermpartners.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Embark Behavioral Health,embarkbh.com,admissions@embarkbh.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
VocoVision,vocovision.com,info@vocovision.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Apex Skin,apexskin.com,info@apexskin.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
WellnessFX,wellnessfx.com,info@wellnessfx.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
9amHealth,9am.health,hello@9am.health,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
MetroDerm DC,verizon.net,metrodermdc@verizon.net,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
Parallel Learning,parallellearning.com,care@parallellearning.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
The Dermatology Clinic,thedermclinic.net,telehealth@thedermclinic.net,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
ZoomCare,zoomcare.com,press@zoomcare.com,ok,vendor,,ab6d2b55-telehealth_instagram_top.md
