vendor,country,website,domain,primary_email,all_emails,email_source,email_page,phone,whatsapp,telegram_signal,social,us_signal_on_site,state_mentioned,company_type,sells_direct,research_only,peptide_terms_found,peptide_hits,peptidebase_tier,listed_on,peptidebase_profile,finnrick_profile,finnrick_location,finnrick_products_tested,finnrick_tests,finnrick_status,crawl_status,pages_checked,notes
Research Peptides,unknown (discovered via search),https://homelandpeptides.com/,homelandpeptides.com,cs@homelandpeptides.com,cs@homelandpeptides.com; researcher@institution.edu,website,https://homelandpeptides.com/,,,,,yes,Arkansas,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, epitalon, ghk cu, ghk-cu, glp-1, hexarelin, ipamorelin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semax, sermorelin, tb-500, tb500, tesamorelin, thymosin",23,,"repo roster (discovery:result:research peptides company ""Arkansas"")",,,,,,,ok,7,
USA-Made Research Peptides — Directory,unknown (discovered via search),https://px1research.com/,px1research.com,support@px1research.com,support@px1research.com; info@px1research.com; sales@px1research.com; orders@px1research.com; accessibility@px1research.com; dmca@px1research.com,website,https://px1research.com/,(949) 739-5700,,,,yes,New York,manufacturing_lab,yes,yes,"5-amino-1mq, bpc-157, cjc-1295, dsip, epitalon, ghk-cu, ipamorelin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",23,,"repo roster (discovery:result:research peptides company ""North Dakota"")",,,,,,,ok,7,
View source ↗,unknown (discovered via search),https://peptalabs.com/,peptalabs.com,support@peptalabs.com,support@peptalabs.com,website,https://peptalabs.com/,(800) 952-5210,,,,yes,California,manufacturing_lab,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, pt-141, retatrutide, selank, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",23,,repo roster (discovery:outlink:list:peptidelocal.com),,,,,,,ok,6,
Wholesale Peptides Alaska | Bulk Supply | 99 Purity,unknown (discovered via search),https://99puritywholesale.com/,99puritywholesale.com,wholesale@99puritypeptides.com,wholesale@99puritypeptides.com,website,https://99puritywholesale.com/,,,,,yes,Texas,compounding_pharmacy,yes,yes,"5-amino-1mq, aod9604, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",23,,"repo roster (discovery:result:peptide supplier ""Alaska"" lab tested)",,,,,,,ok,6,
Click Here,unknown (discovered via search),https://truth-tides.com/,truth-tides.com,info@truth-tides.com,info@truth-tides.com,website,https://truth-tides.com/contact,,,,,yes,California,consumer_and_research,,,"aod-9604, bpc-157, cjc-1295, dsip, epitalon, ghk-cu, ipamorelin, melanotan, mots-c, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, tb-500, tesamorelin, thymosin, tirzepatide",22,,repo roster (listdeep:ascendapeptides.com),,,,,,,ok_chromium,5,
Go,unknown (discovered via search),https://phoenixpeptidelabs.com/,phoenixpeptidelabs.com,info@phoenixpeptidelabs.com,info@phoenixpeptidelabs.com; contact@phoenixpeptidelabs.com,website,https://phoenixpeptidelabs.com/,(914) 357-0174,,,,yes,California,manufacturing_lab,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, epitalon, ghk-cu, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, retatrutide, selank, semax, sermorelin, tb-500, thymosin",22,,repo roster (listdeep:shipthedeal.com),,,,,,,ok_chromium,5,
PeptideOrders.com,unknown (discovered via search),https://peptideorders.com/,peptideorders.com,service@peptideorders.com,service@peptideorders.com,website,https://peptideorders.com/privacy-policy/,,,,,no,,consumer_and_research,,,"aod-9604, bpc-157, cjc-1295, dsip, ghk-cu, ipamorelin, kisspeptin, melanotan, mots-c, nad+, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",22,,repo roster (listdeep:biopurepeptides.com),,,,,,,ok,3,
"Research Peptides for Sale | Lab Grade, COA Tested | US Made",unknown (discovered via search),https://frontierpeptidesupply.com/,frontierpeptidesupply.com,info@frontierpeptidesupply.com,info@frontierpeptidesupply.com; support@frontierpeptidelabs.com; info@frontierpeptidelabs.com,website,https://frontierpeptidesupply.com/,,,,,yes,Texas,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, kisspeptin, mots-c, nad+, peptide, peptides, pt-141, retatrutide, selank, semaglutide, sermorelin, tb-500, tb500, tesamorelin, thymosin, tirzepatide",22,,"repo roster (discovery:result:peptide supplier ""Delaware"" lab tested)",,,,,,,ok_chromium,5,
Shop MsAmino ↗,unknown (discovered via search),https://msamino.com/,msamino.com,support@msamino.com,support@msamino.com,website,https://msamino.com/,(908) 743-8454,,,,yes,New Jersey,manufacturing_lab,,yes,"aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, glp-1, ipamorelin, kisspeptin, melanotan, mots-c, nad+, peptide, peptides, pt-141, selank, semaglutide, semax, sermorelin, tb-500, tesamorelin, thymosin",22,,repo roster (listdeep:peptideprices.net),,,,,,,ok,6,
Shop Woosh Labs ↗,unknown (discovered via search),https://wooshlabs.com/,wooshlabs.com,info@wooshlabs.com,info@wooshlabs.com; o@wooshlabs.com,website,https://wooshlabs.com/contact,,,,,yes,Alaska,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, glp-1, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, pt-141, selank, semaglutide, semax, tb-500, tesamorelin, thymosin, tirzepatide",22,,repo roster (listdeep:peptideprices.net),,,,,,,ok,6,
Philadelphia Peptide Therapy: 2026 Guide | PeRx,unknown (discovered via search),https://perxpeptides.com/,perxpeptides.com,support@perxpeptides.com,support@perxpeptides.com,website,https://perxpeptides.com/,,,,,yes,California,compounding_pharmacy,,,"aod-9604, bpc-157, cjc-1295, dsip, epitalon, ghk-cu, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, pt-141, selank, semaglutide, semax, sermorelin, tb-500, tesamorelin, thymosin, tirzepatide",21,,"repo roster (discovery:result:research peptides company ""Pennsylvania"")",,,,,,,ok,5,
Source,unknown (discovered via search),https://peptidescienceinstitute.org/,peptidescienceinstitute.org,info@peptidescienceinstitute.org,info@peptidescienceinstitute.org,website,https://peptidescienceinstitute.org/,,,,,yes,New York,consumer_and_research,,,"aod-9604, bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, kisspeptin, melanotan, mots-c, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, tb-500, tesamorelin, thymosin, tirzepatide",21,,repo roster (listdeep:peptiq.io),,,,,,,ok,3,
Affiliate Program for Peptides | Earn Recurring Commissions,unknown (discovered via search),https://genoscience.net/,genoscience.net,orders@genoscience.net,orders@genoscience.net; genoscienceonlineorders@proton.me,website,https://genoscience.net/,,,,,yes,Maryland,manufacturing_lab,yes,yes,"aod-9604, bpc-157, cjc-1295, ghk-cu, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, pt-141, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",20,,"repo roster (discovery:result:research peptides ""affiliate program"")",,,,,,,ok,5,
Licensed pharmacies under 503A/503B frameworks,unknown (discovered via search),https://rethinkpeptides.com/,rethinkpeptides.com,hello@rethinkpeptides.com,hello@rethinkpeptides.com; corrections@rethinkpeptides.com,website,https://rethinkpeptides.com/about,,,,,yes,California,research_only,,yes,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, kisspeptin, melanotan, mots-c, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, sermorelin, tb-500, thymosin, tirzepatide",20,,repo roster (listdeep:mirrorplasticsurgery.com),,,,,,,ok,4,
"Drexa Labs – Research Peptides Built for Purity, Precision, and ...",unknown (discovered via search),https://drexalabs.com/,drexalabs.com,support@drexalabs.com,support@drexalabs.com,website,https://drexalabs.com/contact/,,,,,yes,Louisiana,research_only,yes,yes,"5-amino-1mq, bpc-157, cjc-1295, ghk-cu, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, pt-141, retatrutide, selank, semaglutide, semax, tb-500, tesamorelin, tirzepatide",18,,"repo roster (discovery:result:research peptides company ""Louisiana"")",,,,,,,ok,7,
Visit Dynamic Peptides,unknown (discovered via search),https://dynamicpeptide.com/,dynamicpeptide.com,support@dynamicpeptide.com,support@dynamicpeptide.com; support@dynamicpeptides.com,website,https://dynamicpeptide.com/,(551) 285-7734,,,,yes,,research_only,yes,yes,"bpc-157, cjc-1295, dsip, ghk-cu, ipamorelin, kisspeptin, melanotan, mots-c, nad+, peptide, peptides, selank, semax, ss-31, tb-500, tb500, tesamorelin, thymosin",18,,repo roster (discovery:outlink:list:peptidetech.co),,,,,,,ok_chromium,5,
Visit Site,unknown (discovered via search),https://opeptides.com/,opeptides.com,support@opeptides.com,support@opeptides.com,website,https://opeptides.com/contact/,(689) 339-4016; (860) 792-6479,,,,yes,Florida,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, dsip, epitalon, ghk-cu, kisspeptin, nad+, oxytocin, peptide, peptides, pt-141, retatrutide, selank, semax, tb-500, tesamorelin",18,,repo roster (listdeep:peptidegrades.com),,,,,,,ok,7,
About - Peptidic.,unknown (discovered via search),https://peptidicresearch.com/,peptidicresearch.com,support@peptidicresearch.com,support@peptidicresearch.com,website,https://peptidicresearch.com/,,,,,yes,Louisiana,research_only,yes,yes,"aod-9604, bpc-157, cagrilintide, cjc-1295, ghk-cu, glp-1, ipamorelin, melanotan, nad+, peptide, peptides, pt-141, retatrutide, semaglutide, sermorelin, tb-500, tirzepatide",17,,"repo roster (discovery:result:research peptides company ""Louisiana"")",,,,,,,ok,7,
Browse the Kylo Peptides catalog →,unknown (discovered via search),https://kyloresearch.us/,kyloresearch.us,support@kylopeptides.com,support@kylopeptides.com; legal@kylopeptides.com; privacy@kylopeptides.com,website,https://kyloresearch.us/privacy,,,,,yes,Delaware,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, kisspeptin, melanotan, nad+, peptide, peptides, retatrutide, selank, semax, ss-31, tb-500, tesamorelin, thymosin",17,,repo roster (listdeep:buttondown.com),,,,,,,ok_chromium,4,
Lifestyle Peptides – 99% Pure Peptides,unknown (discovered via search),https://lifestylepeptides.com/,lifestylepeptides.com,support@lifestylepeptides.com,support@lifestylepeptides.com; info@lifestylepeptides.com; brian@lifestylepeptides.com; privacy@lifestylepeptides.com,website,https://lifestylepeptides.com/,(917) 623-3323,,,,yes,California,manufacturing_lab,yes,yes,"aod-9604, bpc-157, cjc-1295, dsip, ghk-cu, glp-1, melanotan, mots-c, nad+, peptide, peptides, pt-141, selank, semax, ss-31, tb-500, tesamorelin",17,,"repo roster (discovery:result:research peptides ""buy now"" 99% purity)",,,,,,,ok,7,
"Peptides in North Carolina, NC - Clarity Wellness",unknown (discovered via search),https://claritywellness.us/,claritywellness.us,support@claritywellness.us,support@claritywellness.us,website,https://claritywellness.us/,,,,,yes,North Carolina,consumer_and_research,,,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, epitalon, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, pt-141, selank, semax, sermorelin, tb-500, tesamorelin",17,,"repo roster (discovery:result:research peptides company ""North Carolina"")",,,,,,,ok,2,
"Research Peptides in Honolulu, HI | Spartan Peptides",unknown (discovered via search),https://spartanpeptides.com/,spartanpeptides.com,support@spartanpeptides.com,support@spartanpeptides.com; info@spartanpeptide.com,website,https://spartanpeptides.com/contact-us/,,,,,yes,California,research_only,yes,yes,"aod-9604, bpc-157, cjc-1295, epitalon, ghk-cu, glp-1, ipamorelin, kisspeptin, mots-c, nad+, peptide, peptides, pt-141, semax, tb-500, tesamorelin, thymosin",17,,"repo roster (discovery:result:research peptides company ""Hawaii"")",,,,,,,ok,7,
independent ISO 17025-accredited laboratory,unknown (discovered via search),https://peptides.so/,peptides.so,legal@peptides.so,legal@peptides.so; privacy@peptides.so,website,https://peptides.so/privacy,,,,,yes,California,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, nad+, peptide, peptides, pt-141, retatrutide, semaglutide, tb-500, tesamorelin, tirzepatide",16,,repo roster (listdeep:mirrorplasticsurgery.com),,,,,,,ok,3,reads like editorial/affiliate site
Shop NexPept ↗,unknown (discovered via search),https://nexpept.ca/,nexpept.ca,support@nexpept.ca,support@nexpept.ca,website,https://www.nexpept.ca/contact/,,,,,yes,,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, dsip, ghk-cu, ipamorelin, mots-c, peptide, peptides, retatrutide, selank, semax, sermorelin, ss-31, tb-500, tesamorelin, tirzepatide",16,,repo roster (listdeep:peptideprices.net),,,,,,,ok,7,
"LNK Peptides | Lincoln, NE Research Peptides, Lab-Tested",unknown (discovered via search),https://lnkpeptides.com/,lnkpeptides.com,hello@lnkpeptides.com,hello@lnkpeptides.com,website,https://lnkpeptides.com/,(402) 809-9774,,,,yes,Nebraska,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, mots-c, nad+, peptide, peptides, retatrutide, semaglutide, sermorelin, tb-500, thymosin, tirzepatide",15,,"repo roster (discovery:result:peptide supplier ""Nebraska"" lab tested)",,,,,,,ok,7,
Peptide Bureau’s editor notes,unknown (discovered via search),https://peptidebureau.com/,peptidebureau.com,bureau@peptidebureau.com,bureau@peptidebureau.com,website,https://peptidebureau.com/about.html,,,,,no,,consumer_and_research,,,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, mots-c, peptide, peptides, pt-141, retatrutide, selank, semaglutide, sermorelin, tb-500, tirzepatide",15,,repo roster (discovery:outlink:list:mirrorplasticsurgery.com),,,,,,,ok,2,reads like editorial/affiliate site
Research peptides in Mississippi - That Peptide Store,unknown (discovered via search),https://thatpeptidestore.com/,thatpeptidestore.com,support@thatpeptidestore.com,support@thatpeptidestore.com; privacy@thatpeptidestore.com; security@thatpeptidestore.com,website,https://thatpeptidestore.com/,,,,,yes,Texas,research_only,yes,yes,"aod-9604, bpc-157, cjc-1295, dsip, ghk-cu, glp-1, mots-c, nad+, peptide, peptides, pt-141, selank, semax, ss-31, tb-500",15,,"repo roster (discovery:result:research peptides company ""Mississippi"")",,,,,,,ok,6,
TENNESSEE PEPTIDES,unknown (discovered via search),https://tennesseepeptides.com/,tennesseepeptides.com,george@tennesseepeptides.com,george@tennesseepeptides.com; tennesseepeptides@gmail.com,website,https://www.tennesseepeptides.com/contact/,,,,,yes,TENNESSEE,research_only,,yes,"cjc-1295, dsip, ghk-cu, ipamorelin, kisspeptin, melanotan, mots-c, peptide, peptides, pt-141, selank, semax, ss-31, tesamorelin, thymosin",15,,"repo roster (discovery:result:research peptides company ""Tennessee"")",,,,,,,ok_chromium,5,
A 2024 peer-reviewed market-surveillance study in the Journa,unknown (discovered via search),https://peptides.nyc/,peptides.nyc,hello@peptides.nyc,hello@peptides.nyc; newsletter@peptides.nyc,website,https://peptides.nyc/,,,,,yes,New York,consumer_and_research,,,"aod-9604, bpc-157, cjc-1295, ghk-cu, ipamorelin, peptide, peptides, selank, semaglutide, semax, tb-500, tesamorelin, thymosin, tirzepatide",14,,repo roster (listdeep:mirrorplasticsurgery.com),,,,,,,ok,2,
About - Improved Peptides,unknown (discovered via search),https://improvedpeptides.com/,improvedpeptides.com,support@improvedpeptides.com,support@improvedpeptides.com,website,https://improvedpeptides.com/,,,,,yes,Oklahoma,research_only,yes,yes,"5-amino-1mq, bpc-157, cjc-1295, epitalon, ghk-cu, glp-1, mots-c, nad+, peptide, peptides, selank, semax, tb-500, tesamorelin",14,,"repo roster (discovery:result:research peptides company ""Oklahoma"")",,,,,,,ok,7,
Buy Research Peptides in Tennessee,unknown (discovered via search),https://profoundpeptides.us/,profoundpeptides.us,support@profoundpeptides.us,support@profoundpeptides.us; hello@planetpeptide.com; oscar@monumentconstruction.us,website,https://profoundpeptides.us/,(317) 444-4269,,,,yes,Tennessee,research_only,yes,yes,"aod-9604, bpc-157, bpc157, cjc-1295, ghk-cu, mots-c, peptide, peptides, retatrutide, selank, semaglutide, semax, tb500, tirzepatide",14,,"repo roster (discovery:result:research peptides company ""Tennessee"")",,,,,,,ok,5,
Buy Research Peptides in Hawaii | Fast HI Shipping | Poly Biotech,unknown (discovered via search),https://polybiotech.us/,polybiotech.us,info@polybiotech.us,info@polybiotech.us,website,https://polybiotech.us/,(888) 555-1234,,,,yes,New York,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, ghk-cu, ipamorelin, melanotan, nad+, peptide, peptides, sermorelin, tb-500, thymosin",13,,"repo roster (discovery:result:research peptides company ""Hawaii"")",,,,,,,ok,7,
FDA testing has found that up to 40% of online peptide produ,unknown (discovered via search),https://peptideiq.io/,peptideiq.io,hello@peptideiq.io,hello@peptideiq.io,website,https://peptideiq.io/,,,,,no,,consumer_and_research,,,"aod-9604, bpc-157, cjc-1295, epitalon, ghk-cu, ipamorelin, mots-c, peptide, peptides, selank, semaglutide, tb-500, tirzepatide",13,,repo roster (listdeep:mirrorplasticsurgery.com),,,,,,,ok,3,
Research Peptides — Purity ≥99% HPLC | French Peptides,unknown (discovered via search),https://frenchpeptides.com/,frenchpeptides.com,hello@frenchpeptides.com,hello@frenchpeptides.com,website,https://frenchpeptides.com/,,,,,yes,maine,research_only,,yes,"5-amino-1mq, bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, peptide, peptides, selank, semax, ss-31, tb-500, tesamorelin",13,,"repo roster (discovery:result:research peptides company ""New Mexico"")",,,,,,,ok,3,
RSLT Labs — Precision Peptide Infrastructure,unknown (discovered via search),https://rsltlabs.com/,rsltlabs.com,info@rsltlabs.com,info@rsltlabs.com; sales@rsltlabs.com,website,https://rsltlabs.com/,,,,,yes,Michigan,compounding_pharmacy,yes,yes,"bpc-157, cjc-1295, epitalon, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, selank, semax, tb-500, thymosin",13,,"repo roster (discovery:result:peptide supplier ""Michigan"" lab tested)",,,,,,,ok,4,
"Summit Labs | Research-Grade Peptides, New Jersey",unknown (discovered via search),https://summitlabsresearch.co/,summitlabsresearch.co,support@summitlabsresearch.co,support@summitlabsresearch.co,website,https://summitlabsresearch.co/,(609) 832-3042,,,,yes,New Jersey,research_only,yes,yes,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, melanotan, mots-c, nad+, peptide, peptides, retatrutide, tb-500, tesamorelin",13,,"repo roster (discovery:result:peptide supplier ""New Jersey"" lab tested)",,,,,,,ok,5,
Testing Standards & Quality Assurance | Science Based Body,unknown (discovered via search),https://sbbpeptides.com/,sbbpeptides.com,sales@sbbpeptides.com,sales@sbbpeptides.com,website,https://sbbpeptides.com/,,,,,yes,California,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, glp-1, mots-c, nad+, peptide, peptides, retatrutide, tb-500, tesamorelin, thymosin, tirzepatide",13,,"repo roster (discovery:result:peptide supplier ""Arizona"" lab tested)",,,,,,,ok,7,
Visit Site,unknown (discovered via search),https://ukpeptidesupply.org/,ukpeptidesupply.org,ukpeptidesupply99@gmail.com,ukpeptidesupply99@gmail.com,website,https://ukpeptidesupply.org/,,,,,no,,research_only,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, peptide, peptides, retatrutide, selank, semax, tb-500, tesamorelin, tirzepatide",13,,repo roster (listdeep:peptidegrades.com),,,,,,,ok,7,
"Peptide Therapy Spokane, Liberty Lake & Post Falls | Physician-Led",unknown (discovered via search),https://primebodysolutions.com/,primebodysolutions.com,cbelkoff@primebodysolutions.com,cbelkoff@primebodysolutions.com,website,https://primebodysolutions.com/,(509) 601-4700; (800) 368-1019; (800) 537-7697,,,,yes,Washington,manufacturing_lab,,,"bpc-157, cjc-1295, ghk-cu, glp-1, ipamorelin, peptide, peptides, semaglutide, sermorelin, tb-500, tesamorelin, tirzepatide",12,,"repo roster (discovery:result:peptide supplier ""Idaho"" lab tested)",,,,,,,ok,7,
