vendor,country,website,domain,primary_email,all_emails,email_source,email_page,phone,whatsapp,telegram_signal,social,us_signal_on_site,state_mentioned,company_type,sells_direct,research_only,peptide_terms_found,peptide_hits,peptidebase_tier,listed_on,peptidebase_profile,finnrick_profile,finnrick_location,finnrick_products_tested,finnrick_tests,finnrick_status,crawl_status,pages_checked,notes
Paramount Peptides,United States (Finnrick),https://paramountpeptides.com/,paramountpeptides.com,support@paramountpeptides.com,support@paramountpeptides.com; help@paramountpeptides.com; legal@paramountpeptides.com,website,https://paramountpeptides.com/,(888) 814-8143,,,,yes,California,manufacturing_lab,yes,yes,"glp-1, peptide, peptides",3,,"PeptiPrices, Finnrick",,https://www.finnrick.com/vendors/paramount-peptides,US CA,8,65,Trading,ok,6,
Accelerate Labs,United States (Finnrick),https://accelerate-labs.us/,accelerate-labs.us,support@accelerate-labs.us,support@accelerate-labs.us; support@accelerate-labs.com,website,https://accelerate-labs.us/,,,,,yes,Florida,research_only,yes,yes,"5-amino-1mq, bpc-157, cjc-1295, ghk-cu, ipamorelin, peptide, peptides, pt-141, sermorelin, tb-500",10,,Finnrick,,https://www.finnrick.com/vendors/accelerate-labs,"US Mi, Fl",7,20,Trading,ok_chromium,5,
PureRawz,United States,https://purerawz.co/,purerawz.co,support@purerawz.co,support@purerawz.co; daniyal.ahmed@spogossindustries.com,website,https://purerawz.co/,(214) 702-9022,,,,no,,consumer_and_research,,,"peptide, peptides",2,Nothing at all,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/purerawz,https://www.finnrick.com/vendors/pure-rawz,US,7,29,Trading,ok_chromium,5,reads like editorial/affiliate site
SIMPLE PEPTIDE,United States,https://simplepeptide.com/,simplepeptide.com,support@simplepeptide.com,support@simplepeptide.com; admin@simplepeptide.com,website,https://simplepeptide.com/,(877) 711-0702,,,,yes,Florida,manufacturing_lab,yes,yes,"peptide, peptides",2,Vendor's own word 2/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/simplepeptide,https://www.finnrick.com/vendors/simple-peptide,"US, FL 33446",7,34,Trading,ok,5,Finnrick retatrutide tests (public sample): 1 pass / 0 fail
Loti Labs,United States (Finnrick),https://lotilabs.com/,lotilabs.com,service@lotilabs.com,service@lotilabs.com; servicve@lotilabs.com; u00a0service@lotilabs.com,website,https://lotilabs.com/,(833) 962-6682; (877) 568-4522,,,,yes,,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, epitalon, ghk-cu, glp-1, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, tb-500, tesamorelin, thymosin",25,,Finnrick,,https://www.finnrick.com/vendors/loti-labs,US. Fl,6,32,Trading,ok_chromium,5,
NextechLabs,United States (Finnrick),https://nextechlaboratories.com/,nextechlaboratories.com,support@nextechlaboratories.com,support@nextechlaboratories.com,website,https://nextechlaboratories.com/contact/,,,,,yes,Florida,research_only,yes,yes,"bpc-157, ghk-cu, peptide, peptides, tb-500, tesamorelin",6,,Finnrick,,https://www.finnrick.com/vendors/nextechlabs,US,6,31,Trading,ok_chromium,5,
Amino Amigos,United States (Finnrick),https://aminoamigos.com/,aminoamigos.com,info@aminoamigos.com,info@aminoamigos.com; info@aminoamigos.comyou,website,https://aminoamigos.com/,(505) 309-6441,,,,yes,California,research_only,yes,yes,"glp-1, peptide, peptides",3,,Finnrick,,https://www.finnrick.com/vendors/amino-amigos,US: NM,6,37,Trading,ok,5,
Orbitrex Peptides,United States,https://orbitrexpeptide.is/,orbitrexpeptide.is,support@orbitrexpeptide.com,support@orbitrexpeptide.com; support@orbitrexpeptide.is,website+master_list/drive,https://orbitrexpeptide.is/,,,,,yes,California,research_only,yes,yes,"nad+, peptide, peptides",3,Vendor's own word 2/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/orbitrex-peptides,https://www.finnrick.com/vendors/orbitrex-peptides,Us,6,36,Trading,ok,6,Finnrick retatrutide tests (public sample): 1 pass / 0 fail
Biolongevity Labs,United States,https://biolongevitylabs.com/,biolongevitylabs.com,wholesale@biolongevitylabs.com,wholesale@biolongevitylabs.com; help@biolongevitylabs.com; legal@biolongevitylabs.com,website,https://biolongevitylabs.com/,(516) 147-3085; (568) 137-4933; (800) 788-7879,,,,yes,Hawaii,manufacturing_lab,yes,yes,"5-amino-1mq, bpc-157, dsip, ghk-cu, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, selank, semax, tb-500, tesamorelin, thymosin",17,Nothing at all,"PeptideBase, PeptiPrices, Finnrick",,https://www.finnrick.com/vendors/biolongevity-labs,"US, Akron, OH 44321",5,33,Trading,ok,7,No PeptideBase profile page
Eternal Peptides,United States (Finnrick),https://eternalpeptides.net/,eternalpeptides.net,support@eternalpeptides.com,support@eternalpeptides.com; wholesale@eternalpeptides.com,website,https://eternalpeptides.net/,(910) 767-9503,,,,yes,California,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, tb-500, tb500, tesamorelin, thymosin",12,,Finnrick,,https://www.finnrick.com/vendors/eternal-peptides,"US, NY 11362",5,27,Trading,ok,6,
Peptides 4 Research,United States (roster),https://peptides4research.com/,peptides4research.com,support@peptides4research.com,support@peptides4research.com; info@peptides4research.com; info@testingstage.peptides4research.com,website,https://peptides4research.com/contact-us/,(737) 378-4337,,,,yes,Georgia,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, ghk-cu, ipamorelin, mots-c, nad+, peptide, peptides, tb-500",9,,Finnrick,,https://www.finnrick.com/vendors/peptides-4-research,,5,20,Trading,ok_chromium,5,
Peptides For Sale,United States (Finnrick),https://peptidesforsale.net/,peptidesforsale.net,info@peptidesforsale.net,info@peptidesforsale.net,website,https://peptidesforsale.net/pages/contact,,,,,no,,consumer_and_research,,,"peptide, peptides",2,,Finnrick,,https://www.finnrick.com/vendors/peptides-for-sale,US: TN,5,23,Trading,ok_chromium+deep,4,
Forever Young Pharmacy,United States (Finnrick),https://foreveryoungpharmacy.com/,foreveryoungpharmacy.com,support@foreveryoungpharmacy.com,support@foreveryoungpharmacy.com,website,https://foreveryoungpharmacy.com/legal,(619) 415-8112; (619) 837-3348,,,,yes,CA,not_peptide_related,,yes,,0,,Finnrick,,https://www.finnrick.com/vendors/forever-young-pharmacy,US: CA,5,26,Trading,ok+deep,35,
Precision Peptide Co,United States (Finnrick),https://precisionpeptideco.com/,precisionpeptideco.com,support@onprl.com,support@onprl.com,website,https://precisionpeptideco.com/,(702) 789-7563,,,,yes,NV,not_peptide_related,yes,yes,,0,,Finnrick,,https://www.finnrick.com/vendors/precision-peptide-co,"US, Tx 76048",5,21,Trading,ok,1,
Limitless Life Nootropics,United States,https://limitlesslifenootropics.com/,limitlesslifenootropics.com,support@limitlesslifenootropics.com,support@limitlesslifenootropics.com; help@limitlessbiotech.com,website,https://limitlesslifenootropics.com/,(866) 533-5017,,,,yes,,manufacturing_lab,yes,yes,"bpc-157, cjc-1295, dsip, ghk-cu, ipamorelin, mots-c, oxytocin, peptide, peptides, selank, semax, tb-500, thymosin",13,Vendor's own word 1/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/limitless-life-nootropics,https://www.finnrick.com/vendors/limitless-life-nootropics,US: FL,4,22,Trading,ok_chromium,5,
Liberty Peptides,United States,https://libertypeptides.com/,libertypeptides.com,info@libertypeptides.com,info@libertypeptides.com,website,https://libertypeptides.com/,(877) 871-2284,,,,yes,Delaware,manufacturing_lab,yes,yes,"bpc-157, peptide, peptides, selank, semax, tb-500, thymosin",7,Nothing at all,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/liberty-peptides,https://www.finnrick.com/vendors/liberty-peptides,"US, DE 19801",4,19,Trading,ok_chromium,5,
Science,United States (Finnrick),https://science.bio/,science.bio,support@science.bio,support@science.bio,website,https://science.bio/,,,,,no,,not_peptide_related,,,,0,,Finnrick,,https://www.finnrick.com/vendors/science,US,4,12,Trading,ok_chromium,1,
Risynth Bio,United States (Finnrick),https://risynthbio.com/,risynthbio.com,support@risynthbio.com,support@risynthbio.com,website,https://risynthbio.com/refund-policy/,,,,,yes,Delaware,research_only,yes,yes,"epitalon, ghk-cu, kisspeptin, melanotan, motsc, oxytocin, peptide, peptides, selank, semax, ss-31, tb-500",12,,Finnrick,,https://www.finnrick.com/vendors/risynth-bio,US,3,12,Trading,ok,6,
Royal Peptides,United States (Finnrick),https://royal-peptides.com/,royal-peptides.com,info@royal-peptides.com,info@royal-peptides.com,website,https://royal-peptides.com/,(520) 580-4100,,,,yes,,manufacturing_lab,yes,yes,"bpc-157, epitalon, ghk-cu, nad+, peptide, peptides, retatrutide, semaglutide, tb-500, tirzepatide",10,,Finnrick,,https://www.finnrick.com/vendors/royal-peptides,US,3,33,Trading,ok,6,
Evolve BioPep,United States (Finnrick),https://evolvebiopep.com/,evolvebiopep.com,info@theevolvebrands.com,info@theevolvebrands.com,website,https://evolvebiopep.com/contact,(862) 330-0004,,,,yes,,research_only,yes,yes,"ghk-cu, mots-c, nad+, peptide, peptides",5,,Finnrick,,https://www.finnrick.com/vendors/evolve-biopep,US,3,11,Trading,ok+deep,1,
Swiss Chems,United States,https://swisschems.is/,swisschems.is,support@swisschems.is,support@swisschems.is,website,https://swisschems.is/,(870) 533-5581,,,,yes,California,manufacturing_lab,yes,yes,"5-amino-1mq, bpc-157, peptide, peptides",4,Vendor's own word 4/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/swiss-chems,https://www.finnrick.com/vendors/swiss-chems,,3,10,Trading,ok,4,
Go Alpha Labs Peptides,United States (Finnrick),https://goalphalabs.com/,goalphalabs.com,help@goalphalabs.com,help@goalphalabs.com,website,https://goalphalabs.com/,(866) 378-9587,,,,yes,Florida,research_only,yes,yes,"5-amino-1mq, bpc-157, dsip, ghk-cu, kisspeptin, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, tb-500, tb500, tesamorelin",17,,Finnrick,,https://www.finnrick.com/vendors/go-alpha-labs-peptides,US,2,8,Trading,ok,7,
Peptime,United States,https://peptime.com/,peptime.com,care@peptime.com,care@peptime.com,website,https://peptime.com/,,,,,yes,California,research_only,yes,yes,"bpc-157, ghk-cu, mots-c, nad+, peptide, peptides, retatrutide, semaglutide, tb-500, tirzepatide",10,Nothing at all,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/peptime,https://www.finnrick.com/vendors/peptime,,2,10,Trading,ok_chromium,5,
UWA Elite Peptides,United States (Finnrick),https://uwa-biotech.com/,uwa-biotech.com,info@uwa-biotech.com,info@uwa-biotech.com; rachel@uwa-biotech.com; uwa@thrivingshops.com,website,https://uwa-biotech.com/,(852) 514-6711; (861) 875-0910,,,,no,,consumer_and_research,,,"ghk-cu, nad+, peptide, peptides, retatrutide, semaglutide, tesamorelin, tirzepatide",8,,Finnrick,,https://www.finnrick.com/vendors/uwa-elite-peptides,US,2,24,Trading,ok,4,
Paradigm Peptide,United States (Finnrick),https://paradigm-peptide.com/,paradigm-peptide.com,support@paradigm-peptide.com,support@paradigm-peptide.com,website,https://paradigm-peptide.com/,,,,,yes,,manufacturing_lab,,yes,"peptide, peptides",2,,Finnrick,,https://www.finnrick.com/vendors/paradigm-peptide,US,2,18,Trading,ok,2,
PeptideJFT,United States (Finnrick),https://peptidejft.shop/,peptidejft.shop,peptidejft@outlook.com,peptidejft@outlook.com,website,https://peptidejft.shop/contact/,(852) 610-3096; (852) 658-6486; (852) 685-0170,,,,no,,manufacturing_lab,,,"peptide, peptides",2,,Finnrick,,https://www.finnrick.com/vendors/peptidejft,us,2,8,Trading,ok,6,Finnrick tirzepatide tests (public sample): 1 pass / 0 fail
Licensed Peptides,United States,https://licensedpeptides.com/,licensedpeptides.com,service@licensedpeptides.com,service@licensedpeptides.com,website,https://licensedpeptides.com/,(855) 322-2114; (855) 322-2214,,,,yes,California,compounding_pharmacy,yes,yes,"5-amino-1mq, aod9604, bpc-157, bpc157, cagrilintide, cjc-1295, dsip, epitalon, ghk-cu, glp-1, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, ss-31, tb-500, tb500, tesamorelin, thymosin",27,Vendor's own word 2/6,"PeptideBase, Finnrick",https://peptidebase.io/research-vendors/licensed-peptides,https://www.finnrick.com/vendors/licensed-peptides,,1,4,Trading,ok,8,Finnrick retatrutide tests (public sample): 1 pass / 0 fail
Eros Peptides,United States (Finnrick),https://erospeptides.com/,erospeptides.com,support@erospeptides.com,support@erospeptides.com; admin@erospeptides.com,website,https://erospeptides.com/,(470) 263-0568; (800) 952-5210; (916) 445-1254,,,,yes,CALIFORNIA,research_only,yes,yes,"5-amino-1mq, aod9604, bpc-157, cagrilintide, cjc-1295, dsip, epitalon, ghk-cu, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, sermorelin, tb-500, thymosin",22,,Finnrick,,https://www.finnrick.com/vendors/eros-peptides,"US, GA 30339",1,3,Trading,ok,5,
Penguin Peptides,United States (Finnrick),https://penguinpeptides.com/,penguinpeptides.com,support@penguinpeptides.com,support@penguinpeptides.com,website,https://penguinpeptides.com/,(951) 262-0000,,,,yes,Wyoming,research_only,yes,yes,"5-amino-1mq, aod9604, bpc-157, ghk-cu, glp-1, mots-c, nad+, peptide, peptides, tb-500",10,,Finnrick,,https://www.finnrick.com/vendors/penguin-peptides,us,1,5,Trading,ok_chromium,5,"Finnrick tirzepatide tests (public sample): 1 pass / 0 fail; domain guessed from name, not verified"
NextGen Peptides,United States,https://ngpeptide.com/,ngpeptide.com,admin@ngpeptide.com,admin@ngpeptide.com; cs@ngpeptide.com; nextgenpeptides@gmail.com,website,https://www.ngpeptide.com/,(424) 666-5926,,,,yes,California,manufacturing_lab,yes,yes,"bpc-157, dsip, ghk-cu, mots-c, nad+, peptide, peptides, selank, tesamorelin",9,Vendor's own word 2/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/nextgen-peptides,https://www.finnrick.com/vendors/nextgen-health,US,1,3,Trading,ok,8,
Longevity Pros,United States (roster),https://longevityprolabs.com/,longevityprolabs.com,support@longevityprolabs.com,support@longevityprolabs.com; info@logevityprolabs.com,website,https://longevityprolabs.com/contact-us/,(561) 769-3228,,,,yes,Florida,research_only,yes,yes,"dsip, mots-c, peptide, peptides, sermorelin, ss-31, tb-500, tesamorelin",8,,Finnrick,,https://www.finnrick.com/vendors/longevity-pros,,1,2,Trading,ok,7,
Bio Pepz,United States (Finnrick),https://biopepz.com/,biopepz.com,abc@gmail.com,abc@gmail.com,website,https://biopepz.com/contact,,,,,no,,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, tb-500",6,,Finnrick,,https://www.finnrick.com/vendors/bio-pepz,US,1,4,Trading,ok+deep,1,
Kits4less,United States,https://kits4less.is/,kits4less.is,shop@kits4less.is,shop@kits4less.is; chrisnobles08@gmail.com; tinywow_stinnettjosh1@gmail.com,website,https://kits4less.is/,,,,,yes,,consumer_and_research,yes,,"bpc-157, ghk-cu, nad+, peptide, peptides, retatrutide",6,Finnrick 84%,Finnrick,,https://www.finnrick.com/vendors/kits4less,US,1,7,Trading,ok_chromium,3,"Finnrick #15; domain guessed from name, not verified"
Trusted Peptide,United States (Finnrick),https://trustedpeptide.net/,trustedpeptide.net,support@trustedpeptide.net,support@trustedpeptide.net; info@trustedpeptide.net; u00a0info@trustedpeptide.net,website,https://trustedpeptide.net/,,,,,yes,,research_only,yes,yes,"peptide, peptides, retatrutide, semaglutide, tb-500, tirzepatide",6,,Finnrick,,https://www.finnrick.com/vendors/trusted-peptide,US,1,2,Trading,ok,7,
Richards Biotech Simply Richards,United States (Finnrick),https://simplyrichards.com/,simplyrichards.com,support@simplyrichards.com,support@simplyrichards.com; richardsbiotech@gmail.com,website,https://www.simplyrichards.com/contact,,,,,yes,Florida,research_only,yes,yes,"glp-1, peptide, peptides",3,,Finnrick,,https://www.finnrick.com/vendors/richards-biotech-simply-richards,"US, Fl",1,1,Trading,ok,6,
Crush Research,United States (Finnrick),https://crushresearch.com/,crushresearch.com,customerservice@crushresearch.com,customerservice@crushresearch.com,website,https://crushresearch.com/,,,,,yes,New York,research_only,yes,yes,"peptide, peptides",2,,Finnrick,,https://www.finnrick.com/vendors/crush-research,US,1,6,Trading,ok_chromium,5,
Ion Peptide,United States,https://ionpeptide.com/,ionpeptide.com,support@ionpeptide.com,support@ionpeptide.com,website,https://ionpeptide.com/contact/,(470) 228-2482,,,,yes,Alabama,manufacturing_lab,yes,yes,"peptide, peptides",2,Vendor's own word 1/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/ion-peptide,https://www.finnrick.com/vendors/ion-peptide,,1,4,Trading,ok,3,Finnrick retatrutide tests (public sample): 2 pass / 0 fail
Peptira,United States,https://peptira.com/,peptira.com,support@peptira.com,support@peptira.com,website,https://peptira.com/,(402) 230-7979,,,,yes,,manufacturing_lab,yes,yes,"peptide, peptides",2,Vendor's own word 1/6,"PeptideBase, PeptiPrices, Finnrick",https://peptidebase.io/research-vendors/peptira,https://www.finnrick.com/vendors/peptira,US,1,4,Trading,ok,4,
OmegAmino,United States (Finnrick),https://omegamino.net/,omegamino.net,cs@omegamino.net,cs@omegamino.net,website,https://omegamino.net/terms-and-conditions/,(318) 431-6626,,,,yes,Illinois,not_peptide_related,,yes,,0,,Finnrick,,https://www.finnrick.com/vendors/omegamino,"US,  IL 60641",1,4,Trading,ok,3,
American Peptides,United States (roster),https://americanpeptides.us/,americanpeptides.us,support@americanpeptides.us,support@americanpeptides.us,website,https://americanpeptides.us/,(318) 347-5336,,,,yes,California,manufacturing_lab,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, glp-1, ipamorelin, kisspeptin, melanotan, mots-c, nad+, peptide, peptides, pt-141, pt141, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",27,,Finnrick,,https://www.finnrick.com/vendors/american-peptides,,0,0,Trading,ok,5,
Onyx Biolabs,United States,https://onyxbiolabs.com/,onyxbiolabs.com,support@onyxbiolabs.com,support@onyxbiolabs.com,website,https://onyxbiolabs.com/,(704) 665-5551,,,,yes,California,manufacturing_lab,yes,yes,"5-amino-1mq, aod-9604, bpc-157, bpc157, cagrilintide, cjc-1295, dsip, epitalon, ghk-cu, ipamorelin, kisspeptin, melanotan, mots-c, nad+, peptide, peptides, pt-141, selank, semax, sermorelin, ss-31, tb-500, tb500, tesamorelin, tesofensine",25,Nothing at all,PeptideBase,https://peptidebase.io/research-vendors/onyx-biolabs,,,,,,ok,5,
Peptide Works,United States,https://peptide-works.com/,peptide-works.com,info@peptide-works.com,info@peptide-works.com,website,https://peptide-works.com/shipping-and-returns-policy/,,,,,yes,,manufacturing_lab,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cjc-1295, dsip, ghk-cu, gonadorelin, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, ss-31, tb500, tesamorelin, tesofensine, thymosin",25,Nothing at all,PeptideBase,https://peptidebase.io/research-vendors/peptide-works,,,,,,ok,7,
Pure Health Peptides,United States (roster),https://purehealthpeptides.com/,purehealthpeptides.com,info@purehealthpeptides.com,info@purehealthpeptides.com; sales@purehealthpeptides.com,website,https://purehealthpeptides.com/,(760) 875-0058,,,,yes,California,research_only,yes,yes,"5-amino-1mq, aod9604, bpc-157, cjc-1295, dsip, ghk-cu, glp-1, gonadorelin, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, tb-500, tesamorelin, tesofensine, thymosin",25,,repo roster (seed_urls),,,,,,,ok_chromium,5,
Real Peptides,United States,https://realpeptides.co/,realpeptides.co,support@realpeptides.co,support@realpeptides.co,website,https://realpeptides.co/,(813) 330-0290,,,,yes,Florida,manufacturing_lab,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, ghk-cu, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, ss-31, tb-500, tesamorelin, tesofensine, thymosin",25,Vendor's own word 2/6,PeptideBase,https://peptidebase.io/research-vendors/real-peptides,,,,,,ok,4,
Blank Peptides,United States,https://blankpeptides.com/,blankpeptides.com,support@blankpeptides.com,support@blankpeptides.com,website,https://blankpeptides.com/,(206) 588-6165,,,,yes,Texas,manufacturing_lab,yes,yes,"aod-9604, bpc-157, cjc-1295, dsip, ghk-cu, hexarelin, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, retatrutide, selank, semaglutide, semax, sermorelin, ss-31, tb-500, tesamorelin, thymosin, tirzepatide",24,Vendor's own word 4/6,"PeptideBase, PeptiPrices",https://peptidebase.io/research-vendors/blank-peptides,,,,,,ok_chromium,5,Response 1-2 business hrs; wholesale page at blankpeptides.com/wholesale
EZ Peptides (US),United States,https://ezpeptides.com/,ezpeptides.com,support@ezpeptides.com,support@ezpeptides.com,website,https://ezpeptides.com/,(317) 527-6497,,,,yes,New Mexico,research_only,yes,yes,"5-amino-1mq, aod-9604, bpc-157, cagrilintide, cjc-1295, dsip, epitalon, ghk-cu, ipamorelin, kisspeptin, melanotan, mots-c, nad+, oxytocin, peptide, peptides, pt-141, selank, semax, sermorelin, tb-500, tesamorelin, tesofensine, thymosin",24,Vendor's own word 3/6,"PeptideBase, PeptiPrices",https://peptidebase.io/research-vendors/ez-peptides-us,,,,,,ok,8,
